Blattner	Uniprot
b1424	P40120
b0448	P77265
b1494	P31828
b0132	P31665
b3449	P10908
b0851	P17117
b2132	P33363
b2260	P37353
b3265	P24180
b3926	P0A6F3
b4190	P39298
b0449	P0AAG5
b2873	Q46806
b2305	P77768
b2243	P0A996
b1809	P0AEB7
b1521	P0A6L7
b0029	P62623
b0822	P75792
b3945	P0A9S5
b0914	P60752
b4338	P39387
b2239	P09394
b1110	P0AB35
b3748	P04982
b2746	P62617
b1653	P30015
b3426	P13035
b3037	P0ADT2
b0879	P75831
b3439	P46852
b1941	P52612
b2241	P0A9C0
b2636	O52982
b0344	P00722
b2264	P17109
b1750	P76219
b3608	P0A6S7
b0600	P77806
b1496	P31826
b2603	P64548
b3616	P07913
b0062	P08202
b3834	P0ADP7
b0164	P37049
b3617	P0AB77
b1639	P28224
b0377	P0AFY6
b0736	P0A8Z3
b1535	P31129
b3379	P45548
b3374	P45543
b3187	P0AD57
b2431	P76536
b3115	P11868
b1463	P77567
b2211	P33941
b0442	P0AAR8
b2371	P76518
b1785	P76236
b3939	P00935
b1388	P76077
b2889	Q46822
b3513	P37636
b1519	P76145
b1386	P46883
b2918	P27254
b0887	P29018
b0497	P16919
b0888	P0A9P4
b2067	P38097
b3117	P0AGF6
b3101	P42619
b2901	Q46829
b4040	P0AGK1
b2300	P67095
b4331	P39380
b2296	P0A6A3
b1376	P37903
b0886	P23886
b0325	P75691
b0616	P0A9I1
b1786	P76237
b2297	P0A9M8
b3580	P37677
b0662	P75728
b4527	P0ACW0
b3924	P28861
b0086	P11880
b2135	P0AD17
b3390	P0A6D7
b1132	P25746
b4198	P39306
b1481	P76127
b2428	P76535
b1308	P23857
b4090	P37351
b2906	P25535
b2955	P52062
b2920	P52043
b1119	P75959
b1978	P76347
b1693	P05194
b1036	P75916
b0126	P61517
b1025	P75908
b0433	P0AE16
b0342	P07464
b2263	P37355
b2738	Q46890
b2430	P77619
b0772	P46130
b0908	P0A6D3
b3597	P0AFV0
b3878	P32138
b1218	P39163
b1192	P76008
b3322	P03825
b2802	P69922
b2232	P17993
b3361	P20605
b1650	P77258
b4233	P37773
b4303	P39364
b0388	P0A6E1
b2878	Q46811
b4335	P39384
b0110	P13016
b1816	P0AEC0
b3092	P0A8G3
b3930	P32166
b0940	P75857
b0617	P69330
b1640	P77570
b3281	P15770
b1603	P07001
b2121	P33352
b1107	P75949
b2958	P0ADS9
b3132	P0C8K0
b3835	P0A6A0
b0065	P30149
b4298	P39359
b4213	P08331
b3618	P25666
b3389	P07639
b2516	P27434
b0508	P30147
b1956	P76330
b2498	P0A8F0
b3472	P0AEE1
b1200	P76015
b2515	P62620
b2792	Q46919
b1619	P0AET8
b2235	P69924
b1794	P76245
b1692	P0A6D5
b0718	P75750
b2989	Q46845
b2604	P46139
b0049	P05637
b3128	P39829
b3042	Q46868
b2842	P37769
b0651	P41409
b2660	P37339
b2601	P00888
b1004	P0A8G6
b2874	Q46807
b1851	P0ADF6
b0910	P0A6I0
b1253	P0A8Z0
b4084	P32718
b3843	P0AAB4
b3380	P45549
b3879	P32139
b0104	P60560
b2473	P76561
b2329	P12008
b1582	P76169
b2303	P0AC19
b2168	P0AEW9
b1623	P22333
b0518	Q47208
b0756	P0A9C3
b1686	P77781
b2917	P27253
b2676	P37146
b1483	P77622
b3522	P37642
b1325	P51981
b0030	P22564
b3818	P27843
b3431	P15067
b2262	P0ABU0
b0633	P10100
b1602	P0AB67
b0013	P28696
b0238	P0A9M5
b3144	P42915
b0199	P30750
b2373	P0AFI0
b4301	P39362
b2833	P65294
b2162	P33022
b1447	P76111
b2925	P0AB71
b0354	P51024
b0615	P75726
b1839	P64506
b2827	P0A884
b0151	P07821
b4557	P0A8C8
b2552	P24232
b1423	P76097
b0160	P15723
b2173	P33030
b4358	P39400
b3508	P0AFV2
b4197	P39305
b0645	P77627
b2066	P0A8F4
b3593	P16916
b1117	P75957
b3014	P65298
b0578	P38489
b2959	P38521
b3648	P60546
b2250	P76471
b2091	P0A9S3
b1179	P0AB43
b2919	P52045
b3922	P32162
b1658	P0ACP7
b1290	P0AAH8
b3581	P37678
b2909	P0A8C4
b4381	P0A6L0
b4505	Q79E92
b3519	P62601
b0686	P75736
b2949	P0A8I1
b4188	P0AF82
b3934	P0ACN7
b3563	P11286
b3749	P04983
b3425	P0A6V5
b2466	P76559
b2065	P28248
b4330	P39379
b3125	P0ABQ2
b3997	P29680
b2879	Q46812
b1793	P64493
b2964	P0AFF4
b1832	P76270
b0794	P0A9U1
b0968	P0AB65
b1289	P45736
b0469	P69503
b3916	P0A796
b0475	P23871
b2233	P45508
b0580	P77506
b2407	P45563
b3480	P33594
b3715	P31467
b3697	P0A8Y5
b0735	P0AAV0
b0337	P25524
b3077	P0AC73
b2314	P09549
b0369	P0ACB2
b4615	A5A625
b2807	P0ADR2
b2518	P0A763
b1126	P69874
b4555	Q2M7X4
b4546	P0AD40
b2230	P17994
b0474	P69441
b4297	P39358
b4537	P0AD10
b3368	P0AEA8
b4529	P0ACW2
b3354	P67624
b0125	P0A9M2
b1900	P0AAF3
b4620	A5A628
b2566	P06616
b4567	P55914
b2332	P76498
b0159	P0AF12
b2788	Q46915
b4551	P0ADW8
b2436	P36553
b4541	P33347
b1742	P76214
b2507	P04079
b3352	P63389
b4535	Q2EES1
b4109	P0DM85
b4568	Q2M5U1
b1172	Q7DFV3
b2497	P0AGM7
b1395	P76083
b4553	Q2M7M3
b3660	P31437
b4542	Q2EES6
b0326	P77393
b0411	P0A927
b2180	P33916
b4536	Q2MB16
b1575	P09557
b2671	P0AD53
b3640	P06968
b0352	P51020
b0154	P23893
b3167	P0A7G2
b3676	P0ADM0
b4055	P0AE22
b1246	P76027
b2133	P06149
b1063	P0AB26
b3650	P0AG24
b3903	P32170
b3805	P06983
b3148	P45465
b1281	P08244
b3201	P0A9V1
b3605	P33232
b2256	P76472
b4384	P0ABP8
b0350	P77608
b1858	P0A9X1
b1672	P77564
b4382	P07650
b3455	P0A9S7
b2997	P69741
b0964	P0A8X4
b0171	P0A7E9
b2541	P0CI31
b3867	P32131
b4586	A5A605
b4177	P0A7D4
b1484	P77268
b2996	P0AAJ8
b2181	P0AD21
b2143	P0ABF6
b1392	P76081
b3850	P0ACB4
b1930	P0AA31
b0336	P0AA82
b4485	Q6BEX0
b4079	P07658
b3027	Q46867
b2234	P00452
b3612	P37689
b3804	P09126
b2072	P76395
b1982	P0AE12
b0809	P10346
b3730	P0ACC7
b0723	P0AC41
b1585	P67553
b2675	P39452
b3883	P32143
b1210	P0A6X1
b2048	P24175
b0821	P75791
b0477	P0AEW6
b1318	P77481
b2042	P0AAB6
b3893	P0AAJ5
b2586	P46126
b2508	P0ADG7
b4322	P24215
b1166	P75993
b2038	P37745
b2112	P33344
b1098	P0A720
b0127	P36879
b3962	P27306
b1109	P00393
b0209	P0A8U2
b3831	P12758
b3752	P0A9J6
b0385	P0AAP1
b1613	P00946
b2848	Q46943
b3779	P25552
b4287	P15031
b2040	P37760
b0972	P69739
b1843	P76280
b2393	P0AFF2
b0063	P08204
b0502	P77688
b2051	P32056
b1431	P64451
b1238	P23331
b0820	P0A9U3
b0480	P07024
b1474	P24183
b0647	P77296
b2780	P0A7E5
b2538	P0ABR5
b3337	P0AE56
b2049	P24174
b0567	P37325
b0840	P0ACK5
b3567	P37388
b2041	P37759
b3937	P32167
b0751	P0AFK2
b1389	P76078
b3507	P37195
b2039	P37744
b3817	P27842
b2784	P0AG20
b2677	P14175
b0724	P07014
b4199	P0AF86
b4006	P15639
b0186	P52095
b3244	P0AGG8
b2583	Q47319
b4383	P0A6K6
b1247	P77737
b3894	P32176
b1810	P64490
b2662	P22256
b3582	P37679
b3021	Q46864
b1332	P64445
b2661	P25526
b2547	P77509
b3028	P0AEY5
b0602	P77216
b2664	P37338
b3880	P32140
b3495	P0AED0
b0803	P41039
b2883	P76641
b3195	P63386
b2994	P0ACE0
b1847	P33219
b2463	P76558
b2803	P11553
b1438	P67697
b2824	P08370
b1932	P76319
b4087	P32721
b0973	P0ACD8
b3407	P46837
b4395	P0A7A2
b3371	P0AC00
b0610	P0AFW4
b2420	P78271
b0755	P62707
b4035	P68187
b1475	P0AAJ3
b1760	P76227
b3656	P31434
b1800	P76251
b0146	P0A823
b1195	P76011
b3925	P0A9C9
b1513	P77257
b2759	P76632
b0329	P75694
b2696	P69913
b1315	P77503
b3346	P64624
b3488	P37627
b2930	P21437
b3541	P0AAG0
b3510	P0AES9
b0130	P31666
b0766	P21829
b3091	P42604
b3746	P31473
b1259	P21361
b1479	P26616
b0855	P31134
b2756	Q46897
b3157	P64599
b1702	P23538
b4085	P32719
b3072	P50466
b2273	P76484
b2926	P0A799
b2306	P07109
b2783	P0AE72
b1722	P76206
b4025	P0A6T1
b3681	P31450
b2398	P0AD37
b1044	P75917
b3403	P22259
b1441	P77795
b2761	P38036
b4715	P0DN74
b3236	P61889
b3126	P23522
b1731	P0AE60
b1233	P37052
b1917	P37774
b2760	Q46901
b1931	P76318
b2927	P0A9B6
b1400	P77181
b0846	P75811
b3085	P42597
b1779	P0A9B2
b0588	P23878
b2757	Q46898
b2225	P76462
b4232	P0A993
b2096	P0C8J6
b3528	P0A830
b1586	P76172
b2779	P0A6P9
b0829	P75796
b4224	P08365
b0906	P75839
b2929	P11663
b3526	P37647
b1426	P0ACW6
b1291	P0AAH4
b4365	P0ADD7
b4539	P69348
b2120	P33349
b3755	P31475
b2705	P05707
b1928	P31063
b0490	P77279
b3183	P42641
b2017	P69346
b2851	Q46787
b2847	Q46942
b1723	P06999
b1875	P52007
b3479	P33593
b1921	P52627
b2758	Q46899
b1523	P76148
b1991	P36562
b4309	P39370
b0682	P75734
b4106	P16677
b1709	P06611
b2922	P0ADS6
b0119	P0A8E5
b1993	P0AE76
b1397	P0C7L2
b3944	P32668
b3271	P45769
b1270	P0A9H5
b0607	P39177
b1067	P29217
b0638	P52086
b4477	Q6BF16
b4215	P39317
b2129	P33360
b1992	P36561
b3288	P23882
b2754	P45956
b2618	P52119
b1711	P06609
b3904	P32171
b1825	P64499
b2149	P0AAG8
b4050	P32696
b1383	P76076
b0476	P23872
b0644	P77234
b1756	P76909
b0429	P0ABJ6
b0802	P0AAX3
b3600	P09424
b3858	P0ADP9
b3540	P37313
b1468	P19319
b2732	P25728
b0351	P77580
b4157	P39283
b0495	P0A9T8
b0583	P19925
b4151	P0A8Q3
b2432	P76537
b0596	P15047
b4266	P0A9P9
b1792	P76243
b3454	P22731
b0594	P10378
b4154	P00363
b1248	P0A8L7
b0593	P0AEJ2
b2542	P77650
b0364	P71311
b0262	P37009
b0597	P0A8Y8
b0894	P18775
b3362	P0ADX5
b3058	P0AC16
b1393	P76082
b3596	P32106
b0496	P77504
b0142	P26281
b0979	P26458
b1862	P24238
b3360	P00903
b4239	P28904
b3207	P64610
b4262	P0ADC6
b3177	P0AC13
b1465	P0AF32
b2325	P64540
b2153	P0A6T5
b3565	P00944
b1724	P64479
b1812	P05041
b0733	P0ABJ9
b1122	P75962
b4243	P0AF93
b1096	P28305
b4119	P06720
b0005	P75616
b4211	P39315
b1865	P0AFC0
b2206	P33937
b4380	P37342
b3397	P45799
b3765	P22787
b2804	P0AEN8
b3675	P0ADL6
b3358	P45537
b4175	P0ABC3
b1224	P09152
b3100	Q47710
b3351	P0A756
b3032	P0AEW4
b0347	P77397
b2229	P76466
b3141	P42912
b4174	P0ABC7
b4072	P0AAK7
b1604	P76177
b3080	P42592
b1139	P11072
b1390	P76079
b0919	P0AB03
b2871	P66899
b0862	P0AE34
b0628	P60716
b4153	P0AC47
b1273	P0AB61
b2690	P77475
b0630	P60720
b0269	P77596
b2144	P0AFY2
b2251	P52006
b3960	P11447
b4386	P32099
b0997	P33225
b1929	P31064
b2247	P77215
b2209	P23827
b3137	P0AB74
b2998	P64574
b2245	P76469
b3172	P0A6E4
b4355	P02942
b0895	P18776
b1904	P76308
b2146	P76440
b1885	P07018
b3583	P37680
b1583	P76170
b2086	P76407
b3958	P11446
b0742	P45955
b0978	P26459
b0716	P75748
b1524	P0A6W0
b4244	P0A7F3
b3881	P32141
b0850	P46119
b1501	P77561
b0861	P0AE30
b1467	P19318
b4048	P32694
b1412	P41407
b1887	P0A964
b1617	P05804
b1251	P0AB55
b1408	P76090
b3957	P23908
b1045	P0A8D6
b0734	P0ABK2
b4038	P32690
b1396	P76084
b0773	P12994
b4478	Q6BF17
b3696	P0ADM6
b1378	P52647
b4254	P04391
b0232	Q47156
b1591	P69853
b3820	P0ADP2
b1134	P0AEI6
b1886	P07017
b4474	P45541
b2928	P11664
b1059	P40874
b0860	P30860
b4566	Q2EEU2
b1225	P11349
b4222	P0AE48
b1033	P75913
b1622	P23256
b2095	P0C8J8
b3382	P45551
b0872	P75824
b2818	P0A6C5
b3866	P0A8H6
b4152	P0A8Q0
b3099	P64585
b0837	P75804
b3806	P00936
b1387	P77455
b2876	Q46809
b0825	P78055
b0864	P0AAF6
b0545	P77368
b0896	P18777
b2506	P76573
b0581	P77213
b1421	P05704
b3575	P37672
b2070	P76393
b0485	P77454
b0273	P06960
b4662	C1P5Z7
b3933	P29131
b1762	P76228
b0901	P43340
b0101	P0A8H8
b3719	P31471
b1509	P77286
b3034	Q93K97
b3959	P0A6C8
b1304	P0AFM6
b3462	P0AC30
b0983	P0A932
b2468	P37127
b3895	P32177
b0394	P23917
b3224	P41036
b0660	P0A9K3
b0123	P36649
b0785	P30749
b0677	P0AF18
b4520	P58034
b4487	Q6BEX5
b3614	P37691
b0781	P30745
b2800	P0AB87
b3225	P0A6L4
b4515	P56100
b3589	P37686
b0827	P12281
b0678	P0A759
b0924	P22523
b0163	P62768
b1103	P0ACE7
b2877	Q46810
b3721	P11988
b3729	P17169
b0107	P36645
b2210	P33940
b0783	P0A738
b3222	P45425
b0956	P0A8N0
b2139	P33369
b3946	P32669
b0782	P0AEZ9
b1199	P76014
b3176	P31120
b3999	P32680
b3885	P0A8Y3
b0826	P12282
b0679	P09323
b3613	P37690
b3663	P0ADL3
b1461	P31992
b0763	P37329
b4323	P39160
b0149	P02919
b3253	P26646
b3718	P31470
b3857	P32173
b3223	P0A761
b3388	P11557
b1908	P0AD05
b3665	P31441
b3553	P37666
b4206	P39310
b0046	P0A754
b0386	P0A9L8
b0009	P0AF03
b0611	P21338
b1174	P0A734
b3283	P45771
b1087	P0A729
b0765	P09833
b2010	P33013
b3929	P0A8R0
b3086	P42598
b3248	P25536
b0243	P07004
b4146	P39280
b3164	P05055
b0632	P0AEB2
b2777	P64554
b2147	P25889
b4155	P0A8N7
b0334	P77243
b4162	P0A784
b2419	Q47702
b0897	P21367
b0242	P0A7B5
b0103	P0A6I9
b2830	P0A776
b3150	P64596
b1970	P76341
b0452	P0AGG2
b0134	P31057
b2341	P77399
b2782	P0AE70
b1689	P76196
b3918	P06282
b3258	P16256
b2412	P77173
b1409	P76091
b0425	P0A9J4
b1694	P37766
b0183	P10442
b0917	P0AAZ7
b0133	P31663
b4532	P76106
b3129	P15373
b0579	P0AAT2
b3974	P0A6I3
b2222	P76459
b2567	P0A7Y0
b4703	G3MTW7
b0653	P0AER5
b3639	P0ABQ0
b4225	P33647
b0093	P06136
b2238	P45505
b0443	P77712
b4255	P0AF90
b4403	P37005
b0652	P0AAG3
b3634	P0A6I6
b3130	P64594
b2910	P0ADS2
b2118	P33346
b3022	Q46865
b0335	P77495
b4179	P21499
b3896	P32151
b0654	P0AER3
b3083	P64578
b3643	P0CG19
b0094	P0ABH0
b1537	P31131
b0331	P77541
b4397	P0AE91
b0928	P00509
b0233	Q47157
b1084	P21513
b0102	P36680
b1258	P21362
b1813	P43337
b3845	P21151
b3780	P0A8J8
b4181	P0AF76
b3006	P0ABU7
b0052	P19624
b4347	P39394
b3641	P0C093
b3257	P45566
b2320	P05459
b2342	P76503
b1286	P30850
b3046	P76655
b3005	P0ABV2
b2564	P0A794
b4172	P0A6X3
b0839	P08506
b2768	Q46906
b0333	P31660
b4128	P0AF61
b2338	P77196
b1252	P02929
b4326	P39375
b2630	P52129
b2742	P0ADA3
b1841	P0AA57
b3846	P21177
b1563	P0C077
b1669	P77147
b0674	P22106
b3252	P13518
b1176	P18196
b1213	Q46755
b1615	Q47706
b1976	P76346
b0348	P0ABR9
b4139	P0AC38
b0869	P75822
b3744	P00963
b1631	P77285
b1269	P37765
b2748	P0A6S5
b0488	P0AAS3
b1628	P77223
b0221	Q47146
b2960	P0A8I5
b4685	C1P618
b2888	Q46821
b1276	P25516
b0082	P60390
b3928	P0AF36
b0468	P0AAR5
b1160	P75987
b1701	P38135
b3465	P0ADX9
b3554	P0ADK0
b2075	P76398
b2533	P0ADG4
b2794	Q46920
b0095	P0A9A6
b4078	P0AF56
b3096	P42615
b2221	P76458
b0967	P75876
b3861	P32128
b1543	P77228
b4637	A8DYP9
b3499	P37634
b0946	P75862
b0631	P0A8J4
b1632	P77179
b3562	P0ADJ8
b2575	P31825
b3698	P09996
b0486	P77400
b3205	P0A894
b3706	P25522
b0089	P0ABG4
b0707	P24252
b1629	P77611
b0177	P0A940
b2745	Q57261
b4145	P39279
b1336	P46133
b3745	P0ADN0
b0807	P75782
b3017	P26648
b3233	P0ADW3
b1163	P75990
b3955	P0CB39
b1822	P36999
b2984	P64572
b4208	P0AAE0
b0958	P0AFZ5
b2559	P68398
b3463	P0A9R7
b2736	Q46888
b1880	P76299
b1764	P16456
b2294	P0A8W8
b3496	P36837
b1707	P76204
b4180	P63177
b3163	P0AFB1
b1815	P76261
b1831	P45577
b4400	P08369
b2474	P76562
b1648	P64474
b3603	P33231
b1630	P76182
b0423	P77718
b3865	P0A6P7
b1108	P0A8E1
b1627	P0A766
b2136	P33366
b2594	P33643
b0833	P75800
b1216	P31801
b0382	P0AAN9
b3260	P0ABT5
b3232	P64612
b0426	P0A8E7
b0106	P36646
b0405	P0A7F9
b4680	C1P610
b4111	P0C0L7
b3345	P45532
b0083	P0AEN4
b2956	P46142
b3104	P64592
b1871	P76291
b3535	P0ADJ3
b2663	P25527
b0188	P52097
b1175	P0AEZ3
b4061	P32701
b0738	P0ABV6
b4049	P32695
b1510	P32051
b3709	P23173
b2785	P55135
b2711	P37596
b0706	P28916
b2700	P0A6G3
b2477	P0A903
b0051	P06992
b3448	P0ADX7
b3653	P0AER8
b2615	P0A7B3
b3282	P45748
b4051	P28304
b0081	P22186
b0931	P18133
b0569	P0AFA5
b1807	P76256
b4353	P0ADC8
b2801	P11551
b0750	P11458
b0058	P0AA37
b1873	P52005
b4121	P39270
b1385	P80668
b0658	P0AE78
b2806	P0ADR6
b3156	P63417
b2845	P63340
b0109	P30011
b1086	P0AA39
b1699	P77337
b2948	P0A8W5
b1768	P21369
b3471	P37619
b3741	P0A6U3
b2649	P76612
b1828	P76269
b2574	P10902
b2812	Q46927
b2252	P45565
b0639	P0A752
b2074	P76397
b1135	P75966
b1795	P64485
b1433	P76103
b1740	P18843
b2946	P0AGL7
b2204	P33934
b1614	P77804
b0357	P0AAP3
b2313	P08550
b4168	P0AF67
b1034	P75914
b0402	P0AAE2
b2103	P76422
b3965	P23003
b3844	P0AEN1
b0788	P75770
b4407	O32583
b4461	P37908
b2765	P65870
b0310	P77180
b3110	P42628
b3992	P30138
b0859	P75817
b2710	Q46877
b4601	A5A617
b0068	P31550
b3184	P0AA73
b3470	P0A890
b0913	P37443
b4115	P60061
b2104	P76423
b0195	P28634
b1700	P77714
b3466	P37614
b0446	P46891
b1255	P21365
b3651	P0AGJ2
b4056	P0AF48
b4080	P32714
b0417	P0AGG0
b4371	P39406
b2205	P0AAL3
b3712	P0ADM8
b3991	P30139
b2595	P0AC02
b2530	P0A6B7
b3215	P28722
b3717	P31469
b3710	P31462
b3994	P30136
b0444	P77756
b3120	P11865
b0066	P31548
b4613	A5A624
b3289	P36929
b4352	P24203
b3558	P19769
b0007	P30143
b1106	P75948
b1133	P25745
b1872	P46923
b4257	P39338
b0420	P77488
b4336	P39385
b1804	P09155
b3442	P46855
b1997	P0CF42
b3364	P60778
b3990	P30140
b4475	P46849
b1698	P77378
b3102	P42620
b3993	P30137
b2543	P0AD47
b2268	P0A8V0
b2900	P67603
b0656	P0CE51
b2740	Q46892
b0067	P31549
b2140	P33371
b3095	P0AA63
b2513	P76576
b2687	P45578
b0739	P19934
b0636	P0A8I8
b2073	P76396
b1775	P76230
b1277	P0A7I7
b4171	P16384
b1695	P0A9U8
b1777	P76231
b3812	P0ADP0
b1607	P0ACX0
b3343	P45530
b1520	P76146
b1065	P69367
b1662	P0AFU8
b1835	P76273
b3518	P37197
b0984	P75882
b0414	P25539
b2224	P76461
b0969	P0AB18
b0710	P0AFP6
b1894	P0CF11
b3078	P42590
b3041	P0A7J0
b3606	P0AGJ7
b3009	P0AA60
b0011	P75617
b0844	P75809
b4184	P0AF80
b3064	P05852
b4518	P56614
b0228	Q47152
b3415	P39835
b0415	P61714
b3740	P0A6U5
b0042	P31574
b4385	P39410
b0025	P0AG40
b3002	P67244
b3084	P42596
b1414	P34209
b2943	P0AEP1
b0419	P77735
b1344	P76055
b0041	P60566
b2187	P0AD24
b3459	P37613
b2517	P36979
b4001	P32681
b4064	P0AF52
b3856	P32125
b0503	P33667
b3688	P0ADM4
b2113	P0AF08
b2493	P0AFI9
b2607	P0A873
b3570	P27297
b1403	P0CF41
b0463	P0AE06
b3056	P06961
b2327	P0AD30
b1958	P46125
b2791	P0AA41
b4216	P39187
b0373	P0CF67
b4138	P0ABN5
b0948	P75864
b3376	P45545
b0117	P36682
b3497	P68567
b3097	P42616
b0016	P0CF91
b0112	P15993
b3179	P0C0R7
b4668	C1P608
b2846	Q46941
b0572	P77211
b0406	P0A847
b2456	P0AEJ8
b2492	P77733
b2532	P0AE01
b0461	P0AAR0
b1983	P0A8A2
b3173	P42640
b0661	P0AEI1
b1706	P77649
b4294	P19767
b1690	P76197
b0921	P36566
b2896	Q46824
b1452	P76116
b0815	P75785
b0144	P27305
b0926	P0AB06
b2861	P0CF43
b0842	P0AEY8
b3704	P0A7Y8
b4667	C1P607
b0601	P77174
b0489	P0AA53
b4166	P39288
b4705	P0DKB3
b0360	P0CF40
b3691	P0AA76
b2324	P77182
b4664	C1P616
b4506	Q2EEQ2
b3103	P64590
b2183	P0AA43
b2244	P37014
b0478	P39830
b3247	P0A9J0
b4559	P64646
b2119	P33348
b2323	P0A953
b0737	P0ABU9
b0143	P0ABF1
b3920	P32160
b3579	P37676
b1288	P0AEK4
b3344	P45531
b3262	P28638
b0210	P30866
b1093	P0AEK2
b0987	P75885
b1870	P76290
b1214	P0AGM5
b4283	P39212
b2077	P36554
b4017	P23325
b4687	C1P611
b1765	P0ACY1
b1550	P77695
b0787	P75769
b4022	P32684
b4183	P39293
b2192	P0CE55
b1429	P25396
b3475	P37623
b3166	P60340
b4665	C1P615
b3279	P0A9W9
b3256	P24182
b3424	P09391
b2318	P07649
b3051	P77306
b3662	P0ADL1
b1661	P0A9H7
b3146	P67087
b4666	C1P617
b2769	Q46907
b2563	P24224
b4114	P30845
b1413	P43329
b2343	P0AD33
b0275	P0CF09
b3795	P27837
b0180	P0A6Q6
b2965	P21169
b2744	P0A840
b1878	P76297
b1095	P0AAI5
b2512	P77774
b2988	P0AES0
b1675	P0ACX5
b0591	P24077
b1091	P0A6R0
b0120	P0A7F6
b1511	P77432
b1267	P0AFR4
b0185	P0ABD5
b1789	P0ACY6
b2938	P21170
b0877	P75829
b3411	P31667
b2470	P24177
b0954	P0A6Q3
b1584	P0A951
b0499	P77759
b2316	P0A9Q5
b4140	P37147
b0121	P09158
b4679	C1P609
b4272	P0CF45
b2322	P77549
b1092	P0AAI9
b2937	P60651
b0643	P0AAT9
b3081	P42593
b2617	P0A937
b0692	P0AAF1
b3576	P37673
b2030	P0CE54
b1605	P0AAE5
b1071	P0AEM4
b3602	P0ADK8
b1529	P0AEY1
b2561	P37767
b3873	P32134
b0705	P75741
b0709	P75742
b0464	P0ACS9
b3054	P30871
b3434	P67143
b3872	P0ACM9
b3810	P23305
b0264	P0CF26
b2775	P77031
b1020	P0A9K1
b1254	P0A710
b1805	P69451
b2797	P30744
b2405	P23841
b4158	P39284
b4321	P0AC94
b2560	P0AD42
b3229	P0ACA3
b3239	P64616
b4041	P0A7A7
b1189	P0A6J5
b3842	P0AFW0
b2985	Q46843
b3505	P0CE58
b3547	P37662
b1046	P75919
b3188	P0ACH1
b2737	Q46889
b0418	P18200
b3708	P0A853
b0683	P0A9A9
b2331	P0A8B2
b1994	P0CE53
b2170	P33026
b1249	P0A6H8
b3375	P45544
b1820	P67601
b3018	P26647
b2570	P46187
b1664	P77552
b3877	P32137
b4160	P0A8K1
b1790	P76241
b1168	P75995
b4517	P0AC92
b1746	P76217
b1341	P77302
b0834	P75801
b3218	P0CE57
b1616	P0CE44
b0175	P0ABG1
b3377	P45546
b0457	P77473
b3059	P60782
b1814	P16095
b2364	P46068
b4675	C1P603
b1404	P0CF89
b1186	P0AFA7
b1090	P27247
b3574	P37671
b2452	P76552
b0527	P45570
b2585	P23830
b1767	P0A962
b2157	P0ACR4
b3536	P37657
