E_coli_K12_W3110_lambdaRed	E_coli_K12_W3110	W3110-Name	W3110-Accession	MG1655-ID	Blattner	W3110-startbase	W3110-endbase	W3110-strand	MG1655-startbase	MG1655-endbase	MG1655-strand	sort_order
W3110_lambdaRed.CDS.3648	JW3609	coaD	ECK3624	EG11190	b3634	3830111	3830590	-	3809825	3810304	+	3648
W3110_lambdaRed.CDS.919	JW0898	lpxK	ECK0906	EG11409	b0915	968788	969774	+	968366	969352	+	919
W3110_lambdaRed.CDS.365	JW0361	hemB	ECK0366	EG10428	b0369	387977	388951	-	388753	389727	-	365
W3110_lambdaRed.CDS.3650	JW3607	waaQ	ECK3622	EG11341	b3632	3832317	3833351	+	3807064	3808098	-	3650
W3110_lambdaRed.CDS.3651	JW3606	waaG	ECK3621	EG11339	b3631	3833348	3834472	+	3805943	3807067	-	3651
W3110_lambdaRed.CDS.3652	JW3605	waaP	ECK3620	EG11340	b3630	3834465	3835262	+	3805153	3805950	-	3652
W3110_lambdaRed.CDS.3653	JW3604	waaS	ECK3619	EG11350	b3629	3835299	3836234	+	3804181	3805116	-	3653
W3110_lambdaRed.CDS.3654	JW3603	waaB	ECK3618	EG11351	b3628	3836248	3837357	+	3803058	3804137	-	3654
W3110_lambdaRed.CDS.3655	JW3602	waaO	ECK3617	EG11352	b3627	3837357	3838376	+	3802039	3803058	-	3655
W3110_lambdaRed.CDS.3656	JW3601	waaJ	ECK3616	EG11353	b3626	3838416	3839432	+	3800983	3801999	-	3656
W3110_lambdaRed.CDS.3657	JW3600	waaY	ECK3615	EG11425	b3625	3839450	3840148	+	3800267	3800965	-	3657
W3110_lambdaRed.CDS.3658	JW3599	waaZ	ECK3614	EG11426	b3624	3840219	3841070	+	3799345	3800196	-	3658
W3110_lambdaRed.CDS.3659	JW3598	waaU	ECK3613	EG11423	b3623	3841103	3842176	+	3798239	3799312	-	3659
W3110_lambdaRed.CDS.366	JW5049	ykiB	ECK0367	NIL	NIL	389121	389339	-	NIL	NIL	NIL	366
W3110_lambdaRed.CDS.3660	JW3597	waaL	ECK3612	EG11424	b3622	3842208	3843467	-	3796948	3798207	+	3660
W3110_lambdaRed.CDS.3661	JW3596	waaC	ECK3611	EG11189	b3621	3843477	3844436	-	3795979	3796938	+	3661
W3110_lambdaRed.CDS.3662	JW3595	waaF	ECK3610	EG12210	b3620	3844440	3845486	-	3794929	3795975	+	3662
W3110_lambdaRed.CDS.3663	JW3594	rfaD	ECK3609	EG10838	b3619	3845496	3846428	-	3793987	3794919	+	3663
W3110_lambdaRed.CDS.3664	JW5644	htrL	ECK3608	EG11188	b3618	3846732	3847589	+	3792826	3793683	-	3664
W3110_lambdaRed.CDS.3637	JW3620	dinD	ECK3635	EG11193	b3645	3821831	3822655	-	3817760	3818584	+	3637
W3110_lambdaRed.CDS.3635	JW3622	ligB	ECK3637	EG11334	b3647	3819245	3820927	+	3819488	3821170	-	3635
W3110_lambdaRed.CDS.3605	JW3652	yidH	ECK3667	EG11696	b3676	3784108	3784455	+	3855960	3856307	-	3605
W3110_lambdaRed.CDS.3634	JW3623	gmk	ECK3638	EG10965	b3648	3818364	3818987	-	3821428	3822051	+	3634
W3110_lambdaRed.CDS.3606	JW3651	yidG	ECK3666	EG11695	b3675	3784445	3784807	+	3855608	3855970	-	3606
W3110_lambdaRed.CDS.3607	JW3650	yidF	ECK3665	EG11694	b3674	3784804	3785301	+	3855114	3855611	-	3607
W3110_lambdaRed.CDS.3608	JW5634	emrD	ECK3664	EG11693	b3673	3785309	3786493	-	3853922	3855106	+	3608
W3110_lambdaRed.CDS.361	JW0357	tauA	ECK0362	G6217	b0365	384456	385418	+	385232	386194	+	361
W3110_lambdaRed.CDS.3610	JW3646	ilvB	ECK3662	EG10494	b3671	3787631	3789319	+	3851096	3852784	-	3610
W3110_lambdaRed.CDS.3611	JW3645	ilvN	ECK3661	EG10502	b3670	3789323	3789613	+	3850802	3851092	-	3611
W3110_lambdaRed.CDS.3612	JW3644	uhpA	ECK3660	EG11051	b3669	3789689	3790279	+	3850136	3850726	-	3612
W3110_lambdaRed.CDS.3613	JW3643	uhpB	ECK3659	EG11052	b3668	3790279	3791781	+	3848634	3850136	-	3613
W3110_lambdaRed.CDS.3614	JW3642	uhpC	ECK3658	EG11053	b3667	3791791	3793110	+	3847305	3848624	-	3614
W3110_lambdaRed.CDS.3615	JW3641	uhpT	ECK3657	EG11054	b3666	3793248	3794639	+	3845776	3847167	-	3615
W3110_lambdaRed.CDS.3616	JW3640	adeD	ECK3656	EG11692	b3665	3794685	3796451	-	3843964	3845730	+	3616
W3110_lambdaRed.CDS.3617	JW5636	adeQ	ECK3655	EG11724	b3714	3796626	3797960	+	3895272	3896609	-	3617
W3110_lambdaRed.CDS.3618	JW5637	yicN	ECK3654	EG11690	b3663	3798013	3798465	+	3841950	3842402	-	3618
W3110_lambdaRed.CDS.3619	JW5938	yicM	ECK3653	EG11689	b3662	3798511	3799866	+	3840549	3841739	-	3619
W3110_lambdaRed.CDS.362	JW0358	tauB	ECK0363	G6218	b0366	385431	386198	+	386207	386974	+	362
W3110_lambdaRed.CDS.3620	JW5965	yicS	ECK3652	G0-10469	b4555	3799907	3800200	-	3840215	3840508	+	3620
W3110_lambdaRed.CDS.3621	JW3635	nlpA	ECK3651	EG10657	b3661	3800422	3801240	+	3839175	3839993	-	3621
W3110_lambdaRed.CDS.3622	JW3634	yicL	ECK3650	EG11688	b3660	3801244	3802167	-	3838248	3839171	+	3622
W3110_lambdaRed.CDS.3623	JW3633	setC	ECK3649	EG11687	b3659	3802278	3803462	-	3836953	3838137	+	3623
W3110_lambdaRed.CDS.3625	JW5939	yicJ	ECK3647	EG11686	b3657	3804486	3805868	+	3834547	3835929	-	3625
W3110_lambdaRed.CDS.3626	JW3631	yicI	ECK3646	EG11685	b3656	3805878	3808196	+	3832219	3834537	-	3626
W3110_lambdaRed.CDS.3627	JW3630	yicH	ECK3645	EG11684	b3655	3808249	3809958	-	3830457	3832166	+	3627
W3110_lambdaRed.CDS.3628	JW3629	xanP	ECK3644	EG11194	b3654	3810079	3811470	-	3828945	3830336	+	3628
W3110_lambdaRed.CDS.3629	JW3628	gltS	ECK3643	EG10406	b3653	3811750	3812955	+	3827460	3828665	-	3629
W3110_lambdaRed.CDS.363	JW0359	tauC	ECK0364	G6219	b0367	386195	387022	+	386971	387798	+	363
W3110_lambdaRed.CDS.3630	JW3627	recG	ECK3642	EG10829	b3652	3813124	3815205	-	3825210	3827291	+	3630
W3110_lambdaRed.CDS.3631	JW3626	trmH	ECK3641	EG10967	b3651	3815211	3815900	-	3824515	3825204	+	3631
W3110_lambdaRed.CDS.3632	JW3625	spoT	ECK3640	EG10966	b3650	3815907	3818015	-	3822400	3824508	+	3632
W3110_lambdaRed.CDS.3633	JW3624	rpoZ	ECK3639	EG10899	b3649	3818034	3818309	-	3822106	3822381	+	3633
W3110_lambdaRed.CDS.3564	JW2826	insD-1	ECK0358	NIL	NIL	2995028	2995933	-	NIL	NIL	NIL	3564
W3110_lambdaRed.CDS.3564	JW1975	insD-1	ECK0358	NIL	NIL	2071089	2071994	-	NIL	NIL	NIL	3564
W3110_lambdaRed.CDS.3564	JW1397	insD-1	ECK0358	NIL	NIL	1469635	1470540	-	NIL	NIL	NIL	3564
W3110_lambdaRed.CDS.3471	JW3785	yigB	ECK3807	EG11202	b3812	3638782	3639498	-	3997183	3997899	+	3471
W3110_lambdaRed.CDS.3473	JW3783	yigA	ECK3805	EG11201	b3810	3640391	3641098	-	3995583	3996290	+	3473
W3110_lambdaRed.CDS.3474	JW5592	dapF	ECK3804	EG10209	b3809	3641095	3641919	-	3994762	3995586	+	3474
W3110_lambdaRed.CDS.3475	JW3781	yifL	ECK3803	G0-10471	b4558	3641956	3642159	-	3994522	3994725	+	3475
W3110_lambdaRed.CDS.3476	JW3780	yzcX	ECK3802	G7802	b3808	3642346	3642831	-	3993850	3994335	+	3476
W3110_lambdaRed.CDS.3477	JW3779	cyaY	ECK3801	EG11653	b3807	3642622	3642942	+	3993739	3994059	-	3477
W3110_lambdaRed.CDS.3478	JW3778	cyaA	ECK3800	EG10170	b3806	3642982	3645528	-	3991153	3993699	+	3478
W3110_lambdaRed.CDS.3479	JW5932	hemC	ECK3799	EG10429	b3805	3645915	3646856	+	3989825	3990766	-	3479
W3110_lambdaRed.CDS.348	JW0342	mhpF	ECK0348	M014	b0351	372145	373095	+	372921	373871	+	348
W3110_lambdaRed.CDS.3480	JW3776	hemD	ECK3798	EG10430	b3804	3646853	3647593	+	3989088	3989828	-	3480
W3110_lambdaRed.CDS.3481	JW3775	hemX	ECK3797	EG10433	b3803	3647615	3648796	+	3987885	3989066	-	3481
W3110_lambdaRed.CDS.3482	JW3774	hemY	ECK3796	EG10434	b3802	3648799	3649995	+	3986686	3987882	-	3482
W3110_lambdaRed.CDS.3484	JW3773	aslA	ECK3794	EG10089	b3801	3650674	3652329	+	3984352	3986007	-	3484
W3110_lambdaRed.CDS.3485	JW5594	aslB	ECK3793	EG10090	b3800	3652488	3653723	-	3982958	3984193	+	3485
W3110_lambdaRed.CDS.3486	JW5595	yifK	ECK3788	EG11459	b3795	3654409	3655794	-	3980887	3982272	+	3486
W3110_lambdaRed.CDS.3487	JW3770	rffM	ECK3787	EG11458	b3794	3655985	3656725	-	3979956	3980696	+	3487
W3110_lambdaRed.CDS.3488	JW3769	wzyE	ECK3786	EG11457	b3793	3656728	3658080	-	3978601	3979953	+	3488
W3110_lambdaRed.CDS.3489	JW5596	rffT	ECK3785	G7800	b4481	3658077	3659156	-	3977525	3978604	+	3489
W3110_lambdaRed.CDS.349	JW0343	mhpE	ECK0349	G6205	b0352	373092	374105	+	373868	374881	+	349
W3110_lambdaRed.CDS.3490	JW3766	wzxE	ECK3784	EG11486	b3792	3659153	3660403	-	3976278	3977528	+	3490
W3110_lambdaRed.CDS.3491	JW3765	rffA	ECK3783	EG11456	b3791	3660405	3661535	-	3975146	3976276	+	3491
W3110_lambdaRed.CDS.922	JW0901	kdsB	ECK0909	EG10519	b0918	971274	972020	+	970852	971598	+	922
W3110_lambdaRed.CDS.3493	JW3763	rffH	ECK3781	EG11454	b3789	3662192	3663073	-	3973608	3974489	+	3493
W3110_lambdaRed.CDS.3494	JW5598	rffG	ECK3780	EG11453	b3788	3663092	3664159	-	3972522	3973589	+	3494
W3110_lambdaRed.CDS.3495	JW5599	rffD	ECK3779	EG11452	b3787	3664159	3665421	-	3971260	3972522	+	3495
W3110_lambdaRed.CDS.3496	JW5600	rffE	ECK3778	EG11451	b3786	3665418	3666548	-	3970133	3971263	+	3496
W3110_lambdaRed.CDS.3497	JW5601	wzzE	ECK3777	EG11295	b3785	3666604	3667650	-	3969031	3970077	+	3497
W3110_lambdaRed.CDS.3498	JW3758	rfe	ECK3776	EG10840	b3784	3667662	3668765	-	3967916	3969019	+	3498
W3110_lambdaRed.CDS.35	JW0038	caiA	ECK0040	EG11560	b0039	39244	40386	-	39244	40386	-	35
W3110_lambdaRed.CDS.350	JW5046	mhpT	ECK0350	G6206	b0353	374683	375894	+	375459	376670	+	350
W3110_lambdaRed.CDS.3472	JW3784	xerC	ECK3806	EG11069	b3811	3639498	3640394	-	3996287	3997183	+	3472
W3110_lambdaRed.CDS.3470	JW3786	uvrD	ECK3808	EG11064	b3813	3636536	3638698	-	3997983	4000145	+	3470
W3110_lambdaRed.CDS.3564	JW0352	insD-1	ECK0358	G0-10543	NIL	380898	381803	+	2068952	2070180	-	3564
W3110_lambdaRed.CDS.347	JW0341	mhpD	ECK0347	M013	b0350	371339	372148	+	372115	372924	+	347
W3110_lambdaRed.CDS.3442	JW3820	fre	ECK3836	EG10334	b3844	3609453	3610154	-	4026527	4027228	+	3442
W3110_lambdaRed.CDS.3443	JW3819	ubiD	ECK3835	EG11396	b3843	3610200	3611693	-	4024988	4026481	+	3443
W3110_lambdaRed.CDS.3444	JW3818	rfaH	ECK3834	EG10839	b3842	3611860	3612348	+	4024333	4024821	-	3444
W3110_lambdaRed.CDS.3445	JW5931	tatD	ECK3833	EG11481	b4483	3612345	3613127	-	4023554	4024336	+	3445
W3110_lambdaRed.CDS.3446	JW3815	tatC	ECK3832	EG11479	b3839	3613169	3613945	-	4022736	4023512	+	3446
W3110_lambdaRed.CDS.3447	JW5580	tatB	ECK3831	G7808	b3838	3613948	3614463	-	4022218	4022733	+	3447
W3110_lambdaRed.CDS.3448	JW3813	tatA	ECK3830	G7806	b3836	3614467	3614736	-	4021945	4022214	+	3448
W3110_lambdaRed.CDS.3449	JW3812	ubiB	ECK3829	EG11476	b3835	3614815	3616455	-	4020226	4021866	+	3449
W3110_lambdaRed.CDS.345	JW0339	mhpB	ECK0345	M011	b0348	369501	370445	+	370277	371221	+	345
W3110_lambdaRed.CDS.3450	JW3811	ubiJ	ECK3828	EG11474	b3834	3616452	3617057	-	4019624	4020229	+	3450
W3110_lambdaRed.CDS.3451	JW5581	ubiE	ECK3827	EG11473	b3833	3617071	3617826	-	4018855	4019610	+	3451
W3110_lambdaRed.CDS.3452	JW3809	rmuC	ECK3826	EG11472	b3832	3617921	3619348	-	4017333	4018760	+	3452
W3110_lambdaRed.CDS.3453	JW3808	udp	ECK3825	EG11045	b3831	3619489	3620250	-	4016431	4017192	+	3453
W3110_lambdaRed.CDS.3454	JW5853	ysgA	ECK3824	G7804	b3830	3620512	3621327	+	4015354	4016169	-	3454
W3110_lambdaRed.CDS.3455	JW3805	metE	ECK3823	EG10584	b3829	3621367	3623628	-	4013053	4015314	+	3455
W3110_lambdaRed.CDS.3456	JW3803	yigM	ECK3821	EG11471	b3827	3624706	3625605	-	4011076	4011975	+	3456
W3110_lambdaRed.CDS.3457	JW5854	yigL	ECK3820	EG11470	b3826	3625681	3626481	-	4010200	4011000	+	3457
W3110_lambdaRed.CDS.3458	JW5584	pldB	ECK3819	EG10739	b3825	3626489	3627511	-	4009170	4010192	+	3458
W3110_lambdaRed.CDS.3459	JW5585	rhtB	ECK3818	EG11469	b3824	3627622	3628242	+	4008439	4009059	-	3459
W3110_lambdaRed.CDS.346	JW0340	mhpC	ECK0346	M012	b0349	370448	371329	+	371239	372105	+	346
W3110_lambdaRed.CDS.3460	JW5586	rhtC	ECK3817	EG11468	b3823	3628304	3628924	-	4007757	4008377	+	3460
W3110_lambdaRed.CDS.923	JW0902	ycbJ	ECK0910	G6473	b0919	972174	973067	+	971752	972645	+	923
W3110_lambdaRed.CDS.3462	JW3794	pldA	ECK3815	EG10738	b3821	3630950	3631819	-	4004862	4005731	+	3462
W3110_lambdaRed.CDS.3463	JW5588	yigI	ECK3814	EG11467	b3820	3631984	3632451	+	4004230	4004697	-	3463
W3110_lambdaRed.CDS.3464	JW5589	rarD	ECK3813	EG11466	b3819	3632503	3633393	+	4003288	4004178	-	3464
W3110_lambdaRed.CDS.3465	JW5590	yigG	ECK3812	EG11465	b3818	3633488	3633868	+	4002813	4003193	-	3465
W3110_lambdaRed.CDS.3466	JW3790	yigF	ECK3811	EG11464	b3817	3633882	3634262	+	4002419	4002799	-	3466
W3110_lambdaRed.CDS.3467	JW3789	corA	ECK3810	EG11463	b3816	3634305	3635255	-	4001426	4002376	+	3467
W3110_lambdaRed.CDS.3469	JW5591	yigE	ECK3809	EG11462	b4482	3635625	3636389	+	4000292	4001056	-	3469
W3110_lambdaRed.CDS.3500	JW3756	rho	ECK3775	EG10845	b3783	3669005	3670264	-	3966417	3967676	+	3500
W3110_lambdaRed.CDS.3502	JW5856	trxA	ECK3773	EG11031	b3781	3670591	3670920	-	3965761	3966090	+	3502
W3110_lambdaRed.CDS.3503	JW3753	rhlB	ECK3772	EG10844	b3780	3671051	3672316	+	3964365	3965630	-	3503
W3110_lambdaRed.CDS.3504	JW5603	gpp	ECK3771	EG10413	b3779	3672452	3673936	+	3962745	3964229	-	3504
W3110_lambdaRed.CDS.3536	JW3716	atpB	ECK3731	EG10099	b3738	3714630	3715445	+	3921236	3922051	-	3536
W3110_lambdaRed.CDS.3537	JW3715	atpE	ECK3730	EG10102	b3737	3715492	3715731	+	3920950	3921189	-	3537
W3110_lambdaRed.CDS.3538	JW3714	atpF	ECK3729	EG10103	b3736	3715793	3716263	+	3920418	3920888	-	3538
W3110_lambdaRed.CDS.3539	JW3713	atpH	ECK3728	EG10105	b3735	3716278	3716811	+	3919870	3920403	-	3539
W3110_lambdaRed.CDS.354	JW0348	frmR	ECK0354	G6209	b0357	378830	379105	-	379606	379881	-	354
W3110_lambdaRed.CDS.3540	JW3712	atpA	ECK3727	EG10098	b3734	3716824	3718365	+	3918316	3919857	-	3540
W3110_lambdaRed.CDS.3541	JW3711	atpG	ECK3726	EG10104	b3733	3718416	3719279	+	3917402	3918265	-	3541
W3110_lambdaRed.CDS.3542	JW3710	atpD	ECK3725	EG10101	b3732	3719306	3720688	+	3915993	3917375	-	3542
W3110_lambdaRed.CDS.3543	JW3709	atpC	ECK3724	EG10100	b3731	3720709	3721128	+	3915553	3915972	-	3543
W3110_lambdaRed.CDS.3544	JW3708	glmU	ECK3723	EG11198	b3730	3721481	3722851	+	3913830	3915200	-	3544
W3110_lambdaRed.CDS.3545	JW3707	glmS	ECK3722	EG10382	b3729	3723013	3724842	+	3911839	3913668	-	3545
W3110_lambdaRed.CDS.3546	JW3706	pstS	ECK3721	EG10734	b3728	3725156	3726196	+	3910485	3911525	-	3546
