RefSeq	gene	locus	start	stop	strand	COG	COG_category	COG_meta
BAB96647.2	ilvH	b0078	87356	87848	1	COG0440	E	M
BAB96648.1	fruR	b0080	88027	89032	1	COG1609	K	T
BAB96649.1	mraZ	b0081	89633	90092	1	COG2001	J	T
BAB96650.1	mraW	b0082	90093	91035	1	COG0275	J	T
BAB96651.2	ftsL	b0083	91031	91397	1	COG3116	D	T
BAB96652.1	ftsI	b0084	91412	93179	1	COG0768	D	T
BAB96653.1	murE	b0085	93165	94653	1	COG0769	M	O
BAB96654.2	murF	b0086	94649	96008	1	COG0770	M	O
BAB96655.1	mraY	b0087	96001	97084	1	COG0472	M	O
BAB96656.1	murD	b0088	97086	98403	1	COG0771	M	O
BAB96657.1	ftsW	b0089	98402	99647	1	COG0772	D	T
BAB96658.1	murG	b0090	99643	100711	1	COG0707	M	O
BAB96659.1	murC	b0091	100764	102240	1	COG0773	M	O
BAB96660.1	ddlB	b0092	102232	103153	1	COG1181	M	O
BAB96661.1	ftsQ	b0093	103154	103985	1	COG1589	D	T
BAB96662.1	ftsA	b0094	103981	105244	1	COG0849	D	T
BAB96663.2	ftsZ	b0095	105304	106456	1	COG0206	D	T
BAB96664.1	lpxC	b0096	106556	107474	1	COG0774	M	O
BAB96665.2	secM	b0097	107704	108217	1			
BAB96666.2	secA	b0098	108278	110984	1	COG0653	U	O
BAB96667.1	mutT	b0099	111043	111433	1	COG0494	V	O
BAB96668.2	yacG	b0101	111648	111846	-1	COG3024	L	T
BAB96671.2	yacF	b0102	111855	112599	-1	COG4582	D	T
BAE76040.1	coaE	b0103	112598	113219	-1	COG0237	H	M
BAB96673.2	guaC	b0104	113443	114487	1	COG0516	F	M
BAB96674.2	hofC	b0106	114521	115724	-1	COG1459	N	O
BAB96676.2	hofB	b0107	115713	117099	-1	COG2804	N	O
BAB96678.2	ppdD	b0108	117108	117549	-1	COG4969	N	O
BAE76041.1	nadC	b0109	117751	118645	-1	COG0157	H	M
BAB96679.1	ampD	b0110	118732	119284	1	COG3023	M	O
BAB96680.1	ampE	b0111	119280	120135	1	COG3725	V	O
BAB96681.2	aroP	b0112	120177	121551	-1	COG1113	E	M
BAB96683.2	pdhR	b0113	122091	122856	1	COG2186	K	T
BAB96684.2	aceE	b0114	123016	125680	1	COG2609	C	M
BAB96685.1	aceF	b0115	125694	127587	1	COG0508	C	M
BAB96686.2	lpd	b0116	127911	129336	1	COG1249	C	M
BAB96689.2	yacH	b0117	129406	131260	-1	COG3064	M	O
BAB96692.2	acnB	b0118	131614	134212	1	COG1049	C	M
BAB96693.1	yacL	b0119	134387	134750	1	COG3112	S	O
BAB96694.1	speD	b0120	134787	135582	-1	COG1586	E	M
BAB96695.1	speE	b0121	135597	136464	-1	COG0421	E	M
BAB96696.1	yacC	b0122	136569	136917	-1			
BAB96698.2	cueO	b0123	137082	138633	1	COG2132	D	T
BAB96699.1	gcd	b0124	138834	141225	-1	COG4993	G	M
BAB96700.2	hpt	b0125	141430	141967	1	COG0634	F	M
BAB96701.2	can	b0126	142007	142670	-1	COG0288	P	M
BAB96703.1	yadG	b0127	142778	143705	1	COG1131	V	O
BAB96705.2	yadH	b0128	143701	144472	1	COG0842	V	O
BAB96706.2	yadI	b0129	144576	145017	1	COG2893	G	M
BAB96707.2	yadE	b0130	145080	146310	1	COG0726	G	M
BAB96708.2	panD	b0131	146313	146694	-1	COG0853	H	M
BAB96710.2	yadD	b0132	146967	147870	1	COG5464	L	T
BAE76042.1	panC	b0133	147943	148795	-1	COG0414	H	M
BAB96711.1	panB	b0134	148806	149601	-1	COG0413	H	M
BAB96712.1	yadC	b0135	149714	150953	-1	COG3539	N	O
BAB96713.1	yadK	b0136	151002	151599	-1	COG3539	N	O
BAB96714.1	yadL	b0137	151625	152231	-1	COG3539	N	O
BAB96715.1	yadM	b0138	152242	152812	-1	COG3539	N	O
BAE76043.1	htrE	b0139	152828	155426	-1	COG3188	N	O
BAB96716.1	ecpD	b0140	155460	156201	-1	COG3121	W	
BAB96717.2	yadN	b0141	156298	156883	-1	COG3539	N	O
BAB96719.1	folK	b0142	157252	157732	-1	COG0801	H	M
BAB96720.2	pcnB	b0143	157728	159126	-1	COG0617	J	T
BAB96721.2	yadB	b0144	159185	160112	-1	COG0008	J	T
BAB96722.1	dksA	b0145	160148	160604	-1	COG1734	J	T
BAB96723.1	sfsA	b0146	160781	161486	-1	COG1489	G	M
BAB96724.2	ligT	b0147	161500	162031	-1	COG1514	J	T
BAE76044.1	hrpB	b0148	162104	164534	1	COG1643	J	T
BAB96725.2	mrcB	b0149	164729	167264	1	COG0744	M	O
BAB96726.2	fhuA	b0150	167483	169727	1	COG4774	P	M
BAB96727.2	fhuC	b0151	169777	170575	1	COG1120	P	M
BAB96728.2	fhuD	b0152	170574	171465	1	COG0614	P	M
BAB96729.2	fhuB	b0153	171461	173444	1	COG0609	P	M
BAB96731.2	hemL	b0154	173601	174882	-1	COG0001	H	M
BAB96732.2	clcA	b0155	175106	176528	1	COG0038	P	M
BAB96733.1	yadR	b0156	176609	176954	1	COG0316	O	O
BAB96734.1	yadS	b0157	177000	177624	-1	COG2860	S	O
BAB96735.2	btuF	b0158	177661	178462	-1	COG0614	P	M
BAB96736.1	pfs	b0159	178454	179153	-1	COG0775	F	M
BAB96737.1	dgt	b0160	179236	180754	1	COG0232	F	M
BAB96738.1	degP	b0161	180883	182308	1	COG0265	O	O
BAB96739.2	cdaR	b0162	182462	183620	1	COG3835	K	T
BAB96740.1	yaeH	b0163	183708	184095	-1			
BAB96741.2	yaeI	b0164	184256	185069	-1	COG1408	R	O
BAB96742.1	dapD	b0166	185122	185947	-1	COG2171	E	M
BAE76045.1	glnD	b0167	185977	188650	-1	COG2844	O	O
BAB96743.1	map	b0168	188711	189506	-1	COG0024	J	T
BAB96744.1	rpsB	b0169	189873	190599	1	COG0052	J	T
BAB96746.1	tsf	b0170	190856	191708	1	COG0264	J	T
BAB96747.1	pyrH	b0171	191854	192580	1	COG0528	F	M
BAB96748.1	frr	b0172	192871	193429	1	COG0233	J	T
BAA77848.2	dxr	b0173	193520	194717	1	COG0743	I	M
BAA77849.2	ispU	b0174	194902	195664	1	COG0020	I	M
BAA77850.2	cdsA	b0175	195676	196534	1	COG0575	I	M
BAA77851.1	yaeL	b0176	196545	197898	1	COG0750	O	O
BAA77852.2	yaeT	b0177	197927	200360	1	COG4775	M	O
BAA77853.1	hlpA	b0178	200481	200967	1	COG2825	M	O
BAA77854.1	lpxD	b0179	200970	201996	1	COG1044	M	O
BAA77855.1	fabZ	b0180	202100	202556	1	COG0764	I	M
BAA77856.2	lpxA	b0181	202559	203348	1	COG1043	M	O
BAA77857.2	lpxB	b0182	203347	204496	1	COG0763	M	O
BAA77858.2	rnhB	b0183	204492	205089	1	COG0164	L	T
BAA77859.1	dnaE	b0184	205125	208608	1	COG0587	L	T
BAA77860.2	accA	b0185	208620	209580	1	COG0825	I	M
BAA77861.2	ldcC	b0186	209678	211820	1	COG1982	E	M
BAA77862.1	yaeR	b0187	211876	212266	1	COG0346	Q	M
BAA77863.1	tilS	b0188	212330	213629	1	COG0037	J	T
BAA77864.2	rof	b0189	213677	213932	-1	COG4568	K	T
BAA77865.1	yaeP	b4406	213924	214125	-1			
BAA77866.2	yaeQ	b0190	214290	214836	1	COG4681	S	O
BAA77867.2	yaeJ	b0191	214832	215255	1	COG1186	J	T
BAA77868.1	nlpE	b0192	215268	215979	1	COG3015	M	O
BAA77869.2	yaeF	b0193	216178	217003	-1	COG0791	M	O
BAA77870.2	proS	b0194	217056	218775	-1	COG0442	J	T
BAA77871.1	yaeB	b0195	218886	219594	-1	COG1720	J	T
BAA77873.2	rcsF	b0196	219590	219995	-1			
BAA77874.1	metQ	b0197	220112	220928	-1	COG1464	P	M
BAA77875.1	metI	b0198	220967	221621	-1	COG2011	E	M
BAA77876.2	metN	b0199	221613	222645	-1	COG1135	E	M
BAA77877.1	gmhB	b0200	222832	223408	1	COG0241	E	M
BAA77878.2	dkgB	b0207	229166	229970	1	COG0656	Q	M
BAA77879.1	yafC	b0208	229966	230881	-1	COG0583	K	T
BAA77880.2	yafD	b0209	231121	231922	1	COG3021	R	O
BAA77881.1	yafE	b0210	231925	232549	1	COG2226	H	M
BAA77882.2	mltD	b0211	232596	233955	-1	COG0741	M	O
BAA77882.2	mltD	b0211	232596	233955	-1	COG1388	M	O
BAA77883.1	gloB	b0212	234026	234782	-1	COG0491	R	O
BAA77884.1	yafS	b0213	234815	235538	1	COG2226	H	M
BAA77885.1	rnhA	b0214	235534	236002	-1	COG0328	L	T
BAA77886.1	dnaQ	b0215	236066	236798	1	COG0847	L	T
BAA77887.1	yafT	b0217	237334	238120	1			
BAE76046.1	yafU	b0218	238745	239084	-1			
BAA77888.1	yafF	b4503	239189	239378	1			
BAA77889.2	yafV	b0219	239418	240189	-1	COG0388	R	O
BAA77890.1	ivy	b0220	240342	240816	1			
BAA77891.2	fadE	b0221	240858	243303	-1	COG1960	I	M
BAA77892.1	lpcA	b0222	243542	244121	1	COG0279	G	M
BAA77893.1	yafJ	b0223	244326	245094	1	COG0121	R	O
BAA77894.1	yafK	b0224	245064	245805	-1	COG3034	M	O
BAA77895.1	yafQ	b0225	245960	246239	-1	COG3041	J	T
BAA77896.1	dinJ	b0226	246241	246502	-1	COG3077	V	O
BAA77897.2	yafL	b0227	246711	247461	1	COG0791	M	O
BAA77898.1	yafM	b0228	247636	248134	1	COG1943	X	
BAA77901.1	dinB	b0231	250897	251953	1	COG0389	L	T
BAE76047.1	yafN	b0232	252004	252298	1	COG2161	V	O
BAA77902.1	yafO	b0233	252300	252699	1			
BAA77903.1	yafP	b0234	252708	253161	1	COG0454	K	T
BAA77904.2	ykfJ	b0235	253466	253733	1			
BAA77905.2	prfH	b0236	253701	254202	1			
BAA77906.1	pepD	b0237	254258	255716	-1	COG2195	E	M
BAA77907.1	gpt	b0238	255976	256435	1	COG2236	H	M
BAA77908.2	frsA	b0239	256526	257771	1	COG1073	T	O
BAA77909.2	crl	b0240	257828	258230	1			
BAA77910.1	phoE	b0241	258268	259324	-1	COG3203	M	O
BAA77911.2	proB	b0242	259611	260715	1	COG0263	E	M
BAA77912.2	proA	b0243	260726	261980	1	COG0014	E	M
BAA77913.2	ykfI	b0245	262551	262893	-1			
BAA77914.1	yafW	b0246	262913	263231	-1			
BAA77915.1	ykfH	b4504	263249	263471	-1			
BAA77916.1	ykfG	b0247	263479	263956	-1	COG2003	L	T
BAA77917.2	yafX	b0248	263971	264430	-1			
BAA77918.2	ykfF	b0249	264527	264767	-1			
BAA77919.1	ykfB	b0250	264843	265311	-1			
BAA77920.1	yafY	b0251	265333	266191	-1			
BAA77921.1	yafZ	b0252	266407	267229	-1			
BAA77923.2	ykfA	b0253	267320	268184	-1	COG3596	R	O
BAA77924.1	perR	b0254	268512	269406	-1	COG0583	K	T
BAA77925.1	insN	b0255	269465	269870	1			
BAE76048.1	insI	b0256	269826	270978	1	COG2826	X	
BAA77926.2	insO	b0257	271053	271479	1			
BAA77927.2	ykfC	b0258	272070	273216	1			
BAE76049.1	insH	b0259	273324	274341	-1	COG3039	X	
BAA77928.2	mmuP	b0260	274548	275952	1	COG0833	E	M
BAA77929.2	mmuM	b0261	275938	276871	1	COG2040	E	M
BAA77930.2	afuC	b0262	276979	278026	-1	COG3842	E	M
BAA77931.2	afuB	b0263	278037	278400	-1			
BAE76050.1	insB	b0264	278401	278905	-1	COG1662	X	
BAE76051.1	insA	b0265	278823	279099	-1	COG3677	X	
BAA77932.1	ykgN	b4505	279247	279586	-1			
BAE76052.1	yagB	b0266	279608	279959	-1			
BAA77933.2	yagA	b0267	280052	281207	-1	COG2801	X	
BAA77933.2	yagA	b0267	280052	281207	-1	COG3415	X	
BAA77934.2	yagE	b0268	281480	282410	1	COG0329	E	M
BAE76053.1	yagF	b0269	282424	284392	1	COG0129	E	M
BAE76054.1	yagG	b0270	284618	286001	1	COG2211	G	M
BAE76055.1	yagH	b0271	286012	287623	1	COG3507	G	M
BAE76056.1	yagI	b0272	287627	288386	-1	COG1414	K	T
BAE76057.1	argF	b0273	288524	289529	-1	COG0078	E	M
BAE76058.1	insB	b0274	289872	290376	-1	COG1662	X	
BAE76059.1	insA	b0275	290294	290570	-1	COG3677	X	
BAE76060.1	yagJ	b0276	290723	291455	1			
BAE76061.1	yagK	b0277	291545	292172	-1			
BAE76062.1	yagL	b0278	292443	293142	-1	COG1961	L	T
BAE76063.1	yagM	b0279	293168	294023	-1			
BAE76064.1	yagN	b0280	294362	294803	-1			
BAE76065.1	intF	b0281	294919	296320	-1	COG0582	L	T
BAE76066.1	yagP	b0282	296604	297015	-1			
BAE76067.1	yagQ	b0283	296993	297950	-1	COG1975	O	O
BAE76068.1	yagR	b0284	297959	300158	-1	COG1529	C	M
BAE76069.1	yagS	b0285	300154	301111	-1	COG1319	C	M
BAE76070.1	yagT	b0286	301107	301797	-1	COG2080	C	M
BAE76071.1	yagU	b0287	302214	302829	1	COG3477	S	O
BAE76072.1	ykgJ	b0288	303076	303406	-1	COG0727	R	O
BAE76073.1	yagV	b0289	303718	304429	-1	COG3121	W	
BAE76074.1	yagW	b0290	304397	306041	-1			
BAE76075.1	yagX	b0291	306030	308556	-1	COG3188	N	O
BAE76076.1	yagY	b0292	308581	309250	-1	COG3121	W	
BAE76077.1	yagZ	b0293	309307	309895	-1			
BAE76078.1	ykgK	b0294	309969	310560	-1	COG2771	K	T
BAE76079.1	ykgL	b0295	311335	311563	1			
BAE76080.1	ykgM	b4506	311597	311738	-1	COG0257	J	T
BAE76081.1	ykgM	b0296	311737	312001	-1	COG0254	J	T
BAE76082.1	eaeH	b0297	313580	314468	1			
BAE76083.1	insE	b0298	314505	314814	1	COG2963	X	
BAE76084.1	insF	b0299	314810	315677	1	COG2801	X	
BAE76085.1	ykgA	b0300	315673	316360	-1			
BAE76086.1	ykgB	b0301	316949	317543	-1	COG3059	S	O
BAE76087.1	ykgI	b0303	317554	317791	-1			
BAE76088.1	ykgC	b0304	317899	319225	-1	COG1249	C	M
BAE76089.1	ykgD	b0305	319450	320305	1	COG2207	K	T
BAE76090.1	ykgE	b0306	320831	321551	1	COG0247	C	M
BAE76091.1	ykgF	b0307	321561	322989	1	COG1139	C	M
BAE76092.1	ykgG	b0308	322981	323677	1	COG1556	C	M
BAE76093.1	ykgH	b0310	323919	324588	-1			
BAE76094.1	betA	b0311	324800	326471	-1	COG2303	I	M
BAE76095.1	betB	b0312	326484	327957	-1	COG1012	C	M
BAE76096.1	betI	b0313	327970	328558	-1	COG1309	K	T
BAE76097.1	betT	b0314	328686	330720	1	COG1292	M	O
BAE76098.1	yahA	b0315	331594	332683	1	COG2200	T	O
BAE76098.1	yahA	b0315	331594	332683	1	COG2771	K	T
BAE76099.1	yahB	b0316	332724	333657	-1	COG0583	K	T
BAE76100.1	yahC	b0317	333748	334246	-1			
BAE76101.1	yahD	b0318	334503	335109	1	COG0666	T	O
BAE76102.1	yahE	b0319	335148	336012	1			
BAE76103.1	yahF	b0320	336001	337549	1	COG0074	C	M
BAE76104.1	yahG	b0321	337548	338967	1			
BAE76105.1	yahH	b0322	339016	339313	1			
BAE76106.1	yahI	b0323	339388	340339	1	COG0549	E	M
BAE76107.1	yahJ	b0324	340348	341731	1	COG0402	F	M
BAE76108.1	yahK	b0325	342107	343157	1	COG1064	G	M
BAE76109.1	yahL	b0326	343399	344215	1			
BAE76110.1	yahM	b0327	344627	344873	1			
BAE76111.1	yahN	b0328	344889	345561	-1	COG1280	E	M
BAE76112.1	yahO	b0329	345707	345983	1			
BAE76113.1	prpR	b0330	346080	347667	-1	COG3829	K	T
BAE76114.1	prpB	b0331	347905	348796	1	COG2513	G	M
BAE76115.1	prpC	b0333	349235	350405	1	COG0372	C	M
BAE76116.1	prpD	b0334	350438	351890	1	COG2079	G	M
BAE76117.1	prpE	b0335	351929	353816	1	COG0365	I	M
BAE76118.1	codB	b0336	354145	355405	1	COG1457	F	M
BAE76119.1	codA	b0337	355394	356678	1	COG0402	F	M
BAE76120.1	cynR	b0338	357014	357914	-1	COG0583	K	T
BAE76121.1	cynT	b0339	358022	358682	1	COG0288	P	M
BAE76122.1	cynS	b0340	358712	359183	1	COG1513	P	M
BAE76123.1	cynX	b0341	359215	360370	1	COG2807	P	M
BAE76124.1	lacA	b0342	360472	361084	-1	COG0110	R	O
BAE76125.1	lacY	b0343	361149	362403	-1	COG2223	P	M
BAE76126.1	lacZ	b0344	362454	365529	-1	COG3250	G	M
BAE76127.1	lacI	b0345	365651	366734	-1	COG1609	K	T
BAE76128.1	mhpR	b0346	366810	367758	-1	COG1414	K	T
BAE76129.1	mhpA	b0347	367834	369499	1	COG0654	H	M
BAE76130.1	mhpB	b0348	369500	370445	1	COG3384	Q	M
BAE76131.1	mhpC	b0349	370447	371329	1	COG0596	H	M
BAE76132.1	mhpD	b0350	371338	372148	1	COG3971	Q	M
BAE76133.1	mhpF	b0351	372144	373095	1	COG4569	Q	M
BAE76134.1	mhpE	b0352	373091	374105	1	COG0119	E	M
BAE76135.1	mhpT	b0353	374682	375894	1	COG2814	G	M
BAE76136.1	yaiL	b0354	375995	376535	1	COG3122	S	O
BAE76137.1	frmB	b0355	376758	377592	-1	COG0627	V	O
BAE76138.1	frmA	b0356	377685	378795	-1	COG1062	R	O
BAE76139.1	frmR	b0357	378829	379105	-1	COG1937	K	T
BAE76140.1	yaiO	b0358	379292	380066	-1			
BAE76141.1	insC	b0360	380529	380940	1	COG2963	X	
BAE76142.1	insD	b0361	380897	381803	1	COG2801	X	
BAE76143.1	yaiF	b0362	381727	382114	-1			
BAE76144.1	yaiP	b0363	381962	383159	-1	COG1215	N	O
BAE76145.1	yaiS	b0364	383282	383840	-1	COG2120	G	M
BAE76146.1	tauA	b0365	384455	385418	1	COG4521	P	M
BAE76147.1	tauB	b0366	385430	386198	1	COG4525	P	M
BAE76148.1	tauC	b0367	386194	387022	1	COG0600	P	M
BAE76149.1	tauD	b0368	387018	387870	1	COG2175	Q	M
BAE76150.1	hemB	b0369	387976	388951	-1	COG0113	H	M
BAE76151.1	ykiB	b0370	389120	389339	-1			
BAE76152.1	yaiT	b0371	389474	390935	1			
BAE76153.1	insF	b0372	390962	391829	-1	COG2801	X	
BAE76154.1	insE	b0373	391825	392134	-1	COG2963	X	
BAE76155.1	yaiU	b0374	392238	393642	1			
BAE76156.1	yaiV	b0375	393684	394353	1	COG0664	T	O
BAE76157.1	ampH	b0376	394353	395511	-1	COG1680	V	O
BAE76158.1	sbmA	b0377	395862	397083	1	COG1133	I	M
BAE76159.1	yaiW	b0378	397095	398190	1			
BAE76160.1	yaiY	b0379	398248	398557	-1			
BAE76161.1	yaiZ	b0380	398816	399029	1			
BAE76162.1	ddlA	b0381	399052	400147	-1	COG1181	M	O
BAE76163.1	yaiB	b0382	400609	400870	1			
BAE76164.1	phoA	b0383	400970	402386	1	COG1785	P	M
BAE76165.1	psiF	b0384	402504	402825	1			
BAE76166.1	yaiC	b0385	402926	404042	1	COG3706	T	O
BAE76167.1	proC	b0386	404058	404868	-1	COG0345	E	M
BAE76168.1	yaiI	b0387	404987	405446	1	COG1671	S	O
BAE76169.1	aroL	b0388	405628	406153	1	COG0703	E	M
BAE76170.1	yaiA	b0389	406202	406394	1			
BAE76171.1	aroM	b0390	406651	407329	1			
BAE76172.1	yaiE	b0391	407400	407685	1	COG3123	S	O
BAE76173.1	ykiA	b0392	407892	408174	1			
BAE76174.1	rdgC	b0393	408331	409243	-1	COG2974	L	T
BAE76175.1	mak	b0394	409367	410276	1	COG1940	K	T
BAE76176.1	araJ	b0396	410520	411705	-1	COG2814	G	M
BAE76177.1	sbcC	b0397	411830	414977	-1	COG0419	L	T
BAE76178.1	sbcD	b0398	414973	416176	-1	COG0420	L	T
BAE76179.1	phoB	b0399	416365	417055	1	COG0745	T	O
BAE76180.1	phoR	b0400	417112	418408	1	COG5002	T	O
BAE76181.1	brnQ	b0401	418814	420134	1	COG1114	E	M
BAE76182.1	proY	b0402	420209	421583	1	COG1113	E	M
BAE76183.1	malZ	b0403	421738	423556	1	COG0366	G	M
BAE76184.1	yajB	b0404	423560	424142	-1	COG3124	I	M
BAE76185.1	queA	b0405	424234	425305	1	COG0809	J	T
BAE76186.1	tgt	b0406	425360	426488	1	COG0343	J	T
BAE76187.1	yajC	b0407	426510	426843	1	COG1862	U	O
BAE76188.1	secD	b0408	426870	428718	1	COG0342	U	O
BAE76189.1	secF	b0409	428728	429700	1	COG0341	U	O
BAE76190.1	yajD	b0410	429828	430176	1	COG1403	V	O
BAE76191.1	tsx	b0411	430352	431237	-1	COG3248	M	O
BAE76192.1	yajI	b0412	431535	432075	-1			
BAE76193.1	ybaD	b0413	432225	432675	1	COG1327	K	T
BAE76194.1	ribD	b0414	432678	433782	1	COG0117	H	M
BAE76194.1	ribD	b0414	432678	433782	1	COG1985	H	M
BAE76195.1	ribE	b0415	433870	434341	1	COG0054	H	M
BAE76196.1	nusB	b0416	434360	434780	1	COG0781	K	T
BAE76197.1	thiL	b0417	434857	435835	1	COG0611	H	M
BAE76198.1	pgpA	b0418	435812	436331	1	COG1267	I	M
BAE76199.1	yajO	b0419	436384	437359	-1	COG0667	R	O
BAE76200.1	dxs	b0420	437538	439401	-1	COG1154	H	M
BAE76201.1	ispA	b0421	439425	440325	-1	COG0142	H	M
BAE76202.1	xseB	b0422	440324	440567	-1	COG1722	L	T
BAE76203.1	thiI	b0423	440772	442221	1	COG0301	H	M
BAE76203.1	thiI	b0423	440772	442221	1	COG0607	P	M
BAE76204.1	yajL	b0424	442274	442865	-1	COG0693	R	O
BAE76205.1	panE	b0425	442827	443739	-1	COG1893	H	M
BAE76206.1	yajQ	b0426	443906	444398	1	COG1666	S	O
BAE76207.1	yajR	b0427	444525	445890	-1	COG2814	G	M
BAE76208.1	cyoE	b0428	446038	446929	-1	COG0109	H	M
BAE76209.1	cyoD	b0429	446940	447270	-1	COG3125	C	M
BAE76210.1	cyoC	b0430	447269	447884	-1	COG1845	C	M
BAE76211.1	cyoB	b0431	447873	449865	-1	COG0843	C	M
BAE76212.1	cyoA	b0432	449886	450834	-1	COG1622	C	M
BAE76213.1	ampG	b0433	451293	452769	-1	COG2223	P	M
BAE76214.1	yajG	b0434	452812	453391	-1	COG3056	S	O
BAE76215.1	bolA	b0435	453695	454013	1	COG0271	T	O
BAE76216.1	tig	b0436	454356	455655	1	COG0544	O	O
BAE76217.1	clpP	b0437	455900	456524	1	COG0740	O	O
