,gene,Step,E_coli_W3110
b0301,ykgB,9,W3110_lambdaRed.CDS.298
b0303,ykgI,9,W3110_lambdaRed.CDS.299
b0304,ykgC,9,W3110_lambdaRed.CDS.300
b0305,ykgD,9,W3110_lambdaRed.CDS.301
b0306,ykgE,9,W3110_lambdaRed.CDS.303
b0307,ykgF,9,W3110_lambdaRed.CDS.304
b0308,ykgG,9,W3110_lambdaRed.CDS.305
b0310,ykgH,9,W3110_lambdaRed.CDS.306
b0311,betA,9,W3110_lambdaRed.CDS.307
b0312,betB,9,W3110_lambdaRed.CDS.308
b0313,betI,9,W3110_lambdaRed.CDS.309
b0314,betT,9,W3110_lambdaRed.CDS.310
b0315,yahA,9,W3110_lambdaRed.CDS.311
b0316,yahB,9,W3110_lambdaRed.CDS.312
b0317,yahC,9,W3110_lambdaRed.CDS.313
b0318,yahD,9,W3110_lambdaRed.CDS.314
b0319,yahE,9,W3110_lambdaRed.CDS.315
b0320,yahF,9,W3110_lambdaRed.CDS.316
b0321,yahG,9,W3110_lambdaRed.CDS.317
b0322,yahH,9,W3110_lambdaRed.CDS.318
b0323,yahI,9,W3110_lambdaRed.CDS.319
b0324,yahJ,9,W3110_lambdaRed.CDS.320
b0325,yahK,9,W3110_lambdaRed.CDS.322
b0326,yahL,9,W3110_lambdaRed.CDS.323
b0327,yahM,9,
b0328,yahN,9,W3110_lambdaRed.CDS.325
b0329,yahO,9,W3110_lambdaRed.CDS.326
b0330,prpR,9,W3110_lambdaRed.CDS.328
b0331,prpB,9,W3110_lambdaRed.CDS.329
b0333,prpC,9,W3110_lambdaRed.CDS.330
b0334,prpD,9,W3110_lambdaRed.CDS.331
b0335,prpE,9,W3110_lambdaRed.CDS.332
b0336,codB,9,W3110_lambdaRed.CDS.333
b0337,codA,9,W3110_lambdaRed.CDS.334
b0338,cynR,9,W3110_lambdaRed.CDS.335
b0339,cynT,9,W3110_lambdaRed.CDS.336
b0340,cynS,9,W3110_lambdaRed.CDS.337
b0341,cynX,9,W3110_lambdaRed.CDS.338
b0342,lacA,9,W3110_lambdaRed.CDS.339
b0343,lacY,9,W3110_lambdaRed.CDS.340
b0344,lacZ,9,W3110_lambdaRed.CDS.341
b0345,lacI,9,W3110_lambdaRed.CDS.342
b0346,mhpR,9,W3110_lambdaRed.CDS.343
b0347,mhpA,9,W3110_lambdaRed.CDS.344
b0348,mhpB,9,W3110_lambdaRed.CDS.345
b0349,mhpC,9,W3110_lambdaRed.CDS.346
b0350,mhpD,9,W3110_lambdaRed.CDS.347
b0351,mhpF,9,W3110_lambdaRed.CDS.348
b0352,mhpE,9,W3110_lambdaRed.CDS.349
b0353,mhpT,9,W3110_lambdaRed.CDS.350
b0354,yaiL,9,W3110_lambdaRed.CDS.351
b0355,frmB,9,W3110_lambdaRed.CDS.352
b0356,frmA,9,W3110_lambdaRed.CDS.353
b0357,frmR,9,W3110_lambdaRed.CDS.354
b0358,yaiO,9,W3110_lambdaRed.CDS.355
b0360,insC,9,
b0361,insD,9,W3110_lambdaRed.CDS.358
b0361,insD,9,W3110_lambdaRed.CDS.4296
b0361,insD,9,W3110_lambdaRed.CDS.3044
b0361,insD,9,W3110_lambdaRed.CDS.3564
b0361,insD,9,W3110_lambdaRed.CDS.2859
b0361,insD,9,W3110_lambdaRed.CDS.2216
b0361,insD,9,W3110_lambdaRed.CDS.1004
b0361,insD,9,W3110_lambdaRed.CDS.1213
b0361,insD,9,W3110_lambdaRed.CDS.1382
b0361,insD,9,W3110_lambdaRed.CDS.1981
b0362,yaiF,9,W3110_lambdaRed.CDS.356
b0363,yaiP,9,W3110_lambdaRed.CDS.359
b0364,yaiS,9,W3110_lambdaRed.CDS.360
b0365,tauA,9,W3110_lambdaRed.CDS.361
b0366,tauB,9,W3110_lambdaRed.CDS.362
b0367,tauC,9,W3110_lambdaRed.CDS.363
b0368,tauD,9,W3110_lambdaRed.CDS.364
b0371,yaiT,9,W3110_lambdaRed.CDS.367
b0372,insF,9,
b0373,insE,9,W3110_lambdaRed.CDS.2074
b0373,insE,9,W3110_lambdaRed.CDS.295
b0373,insE,9,W3110_lambdaRed.CDS.369
b0373,insE,9,W3110_lambdaRed.CDS.540
b0374,yaiU,9,W3110_lambdaRed.CDS.367
b0375,yaiV,9,W3110_lambdaRed.CDS.371
b0376,ampH,9,W3110_lambdaRed.CDS.372
b0377,sbmA,9,W3110_lambdaRed.CDS.374
b0378,yaiW,9,W3110_lambdaRed.CDS.375
b0379,yaiY,9,W3110_lambdaRed.CDS.376
b0380,yaiZ,9,W3110_lambdaRed.CDS.377
b0381,ddlA,9,W3110_lambdaRed.CDS.378
b0382,yaiB,9,W3110_lambdaRed.CDS.379
b0383,phoA,9,W3110_lambdaRed.CDS.380
b0384,psiF,9,W3110_lambdaRed.CDS.381
b0385,yaiC,9,W3110_lambdaRed.CDS.382
b0493,ybbO,6,W3110_lambdaRed.CDS.494
b0494,tesA,6,W3110_lambdaRed.CDS.495
b0495,ybbA,6,W3110_lambdaRed.CDS.496
b0496,ybbP,6,W3110_lambdaRed.CDS.497
b0497,rhsD,6,W3110_lambdaRed.CDS.498
b0498,ybbC,6,W3110_lambdaRed.CDS.499
b0499,ylbH,6,W3110_lambdaRed.CDS.500
b0500,ybbD,6,
b0502,ylbG,6,W3110_lambdaRed.CDS.501
b0503,ybbB,6,W3110_lambdaRed.CDS.502
b0504,ybbS,6,W3110_lambdaRed.CDS.503
b0505,allA,6,W3110_lambdaRed.CDS.504
b0506,allR,6,W3110_lambdaRed.CDS.505
b0509,glxR,6,W3110_lambdaRed.CDS.508
b0510,ybbV,6,
b0511,ybbW,6,W3110_lambdaRed.CDS.509
b0512,allB,6,W3110_lambdaRed.CDS.510
b0513,ybbY,6,W3110_lambdaRed.CDS.511
b0514,glxK,6,W3110_lambdaRed.CDS.512
b0515,ylbA,6,W3110_lambdaRed.CDS.513
b0516,allC,6,W3110_lambdaRed.CDS.514
b0517,allD,6,W3110_lambdaRed.CDS.515
b0518,fdrA,6,W3110_lambdaRed.CDS.516
b0520,ylbF,6,W3110_lambdaRed.CDS.519
b0521,ybcF,6,W3110_lambdaRed.CDS.520
b0537,intD,6,W3110_lambdaRed.CDS.537
b0539,ybcC,6,W3110_lambdaRed.CDS.774
b0540,insE,6,W3110_lambdaRed.CDS.2074
b0540,insE,6,W3110_lambdaRed.CDS.295
b0540,insE,6,W3110_lambdaRed.CDS.369
b0540,insE,6,W3110_lambdaRed.CDS.540
b0541,insF,6,
b0542,renD,6,
b0543,emrE,6,W3110_lambdaRed.CDS.542
b0544,ybcK,6,W3110_lambdaRed.CDS.544
b0545,ybcL,6,
b0546,ybcM,6,W3110_lambdaRed.CDS.546
b0547,ybcN,6,W3110_lambdaRed.CDS.547
b0548,ninE,6,
b0549,ybcO,6,W3110_lambdaRed.CDS.548
b0550,rusA,6,W3110_lambdaRed.CDS.549
b0551,ybcQ,6,W3110_lambdaRed.CDS.551
b0552,insH,6,W3110_lambdaRed.CDS.667
b0552,insH,6,W3110_lambdaRed.CDS.629
b0552,insH,6,W3110_lambdaRed.CDS.552
b0552,insH,6,W3110_lambdaRed.CDS.2081
b0552,insH,6,W3110_lambdaRed.CDS.2016
b0552,insH,6,W3110_lambdaRed.CDS.1887
b0552,insH,6,W3110_lambdaRed.CDS.1309
b0552,insH,6,W3110_lambdaRed.CDS.2188
b0552,insH,6,W3110_lambdaRed.CDS.256
b0552,insH,6,W3110_lambdaRed.CDS.4109
b0552,insH,6,W3110_lambdaRed.CDS.3787
b0552,insH,6,W3110_lambdaRed.CDS.3572
b0552,insH,6,W3110_lambdaRed.CDS.3569
b0552,insH,6,W3110_lambdaRed.CDS.3221
b0552,insH,6,W3110_lambdaRed.CDS.3116
b0552,insH,6,W3110_lambdaRed.CDS.2982
b0554,essD,6,W3110_lambdaRed.CDS.554
b0555,ybcS,6,W3110_lambdaRed.CDS.555
b0556,rzpD,6,W3110_lambdaRed.CDS.556
b0557,borD,6,W3110_lambdaRed.CDS.557
b0558,ybcV,6,W3110_lambdaRed.CDS.558
b0559,ybcW,6,W3110_lambdaRed.CDS.559
b0560,nohB,6,W3110_lambdaRed.CDS.561
b0562,ybcY,6,
b0563,ylcE,6,W3110_lambdaRed.CDS.563
b0564,appY,6,W3110_lambdaRed.CDS.564
b0565,ompT,6,W3110_lambdaRed.CDS.565
b0566,envY,6,W3110_lambdaRed.CDS.566
b0567,ybcH,6,W3110_lambdaRed.CDS.567
b0568,nfrA,6,W3110_lambdaRed.CDS.568
b0569,nfrB,6,W3110_lambdaRed.CDS.569
b0570,cusS,6,
b0571,cusR,6,
b0572,cusC,6,W3110_lambdaRed.CDS.573
b0573,cusF,6,W3110_lambdaRed.CDS.574
b0574,cusB,6,W3110_lambdaRed.CDS.575
b0575,cusA,6,W3110_lambdaRed.CDS.576
b0576,pheP,6,W3110_lambdaRed.CDS.577
b0577,ybdG,6,W3110_lambdaRed.CDS.578
b0578,nfnB,6,W3110_lambdaRed.CDS.579
b0579,ybdF,6,W3110_lambdaRed.CDS.580
b0580,ybdJ,6,W3110_lambdaRed.CDS.581
b0581,ybdK,6,W3110_lambdaRed.CDS.582
b0582,insL,6,W3110_lambdaRed.CDS.14
b0582,insL,6,W3110_lambdaRed.CDS.2402
b0582,insL,6,W3110_lambdaRed.CDS.584
b0607,uspG,29,W3110_lambdaRed.CDS.614
b0608,ybdR,29,W3110_lambdaRed.CDS.615
b0610,rnk,29,W3110_lambdaRed.CDS.617
b0611,rna,29,W3110_lambdaRed.CDS.618
b0612,citT,29,W3110_lambdaRed.CDS.619
b0613,citG,29,W3110_lambdaRed.CDS.620
b0614,citX,29,W3110_lambdaRed.CDS.621
b0615,citF,29,W3110_lambdaRed.CDS.622
b0616,citE,29,W3110_lambdaRed.CDS.623
b0617,citD,29,W3110_lambdaRed.CDS.624
b0618,citC,29,W3110_lambdaRed.CDS.625
b0619,citA,29,
b0620,citB,29,
b0621,dcuC,29,W3110_lambdaRed.CDS.630
b0621,dcuC,29,W3110_lambdaRed.CDS.630
b0622,crcA,29,W3110_lambdaRed.CDS.632
b0623,cspE,29,W3110_lambdaRed.CDS.633
b0624,crcB,29,W3110_lambdaRed.CDS.634
b0625,ybeH,29,
b0626,ybeM,29,
b0643,ybeL,22,W3110_lambdaRed.CDS.654
b0644,ybeQ,22,W3110_lambdaRed.CDS.655
b0645,ybeR,22,W3110_lambdaRed.CDS.656
b0646,djlB,22,W3110_lambdaRed.CDS.657
b0647,ybeT,22,W3110_lambdaRed.CDS.658
b0648,ybeU,22,W3110_lambdaRed.CDS.659
b0649,djlC,22,W3110_lambdaRed.CDS.660
b0650,hscC,22,W3110_lambdaRed.CDS.661
b0651,rihA,22,W3110_lambdaRed.CDS.662
b0652,gltL,22,W3110_lambdaRed.CDS.663
b0653,gltK,22,W3110_lambdaRed.CDS.664
b0654,gltJ,22,W3110_lambdaRed.CDS.665
b0655,gltI,22,W3110_lambdaRed.CDS.666
b0656,insH,22,W3110_lambdaRed.CDS.1887
b0656,insH,22,W3110_lambdaRed.CDS.2016
b0656,insH,22,W3110_lambdaRed.CDS.2081
b0656,insH,22,W3110_lambdaRed.CDS.2188
b0656,insH,22,W3110_lambdaRed.CDS.256
b0656,insH,22,W3110_lambdaRed.CDS.2982
b0656,insH,22,W3110_lambdaRed.CDS.3116
b0656,insH,22,W3110_lambdaRed.CDS.3221
b0656,insH,22,W3110_lambdaRed.CDS.3569
b0656,insH,22,W3110_lambdaRed.CDS.3572
b0656,insH,22,W3110_lambdaRed.CDS.3787
b0656,insH,22,W3110_lambdaRed.CDS.4109
b0656,insH,22,W3110_lambdaRed.CDS.552
b0656,insH,22,W3110_lambdaRed.CDS.629
b0656,insH,22,W3110_lambdaRed.CDS.667
b0656,insH,22,W3110_lambdaRed.CDS.1309
b0699,ybfA,17,W3110_lambdaRed.CDS.703
b0700,rhsC,17,W3110_lambdaRed.CDS.704
b0702,ybfB,17,
b0703,ybfO,17,
b0704,ybfC,17,W3110_lambdaRed.CDS.706
b0706,ybfD,17,W3110_lambdaRed.CDS.709
b0707,ybgA,17,W3110_lambdaRed.CDS.710
b0708,phr,17,W3110_lambdaRed.CDS.711
b0798,ybiA,20,W3110_lambdaRed.CDS.800
b0799,dinG,20,W3110_lambdaRed.CDS.801
b0800,ybiB,20,W3110_lambdaRed.CDS.802
b0801,ybiC,20,W3110_lambdaRed.CDS.803
b0802,ybiJ,20,W3110_lambdaRed.CDS.804
b0803,ybiI,20,W3110_lambdaRed.CDS.805
b0804,ybiX,20,W3110_lambdaRed.CDS.806
b0805,fiu,20,W3110_lambdaRed.CDS.807
b0806,ybiM,20,W3110_lambdaRed.CDS.808
b0807,ybiN,20,W3110_lambdaRed.CDS.809
b0808,ybiO,20,W3110_lambdaRed.CDS.810
b0809,glnQ,20,W3110_lambdaRed.CDS.811
b0810,glnP,20,W3110_lambdaRed.CDS.812
b0829,yliA,20,W3110_lambdaRed.CDS.831
b0830,yliB,20,W3110_lambdaRed.CDS.832
b0831,yliC,20,W3110_lambdaRed.CDS.833
b0832,yliD,20,W3110_lambdaRed.CDS.834
b0833,yliE,20,W3110_lambdaRed.CDS.835
b0834,yliF,20,W3110_lambdaRed.CDS.836
b0835,yliG,20,W3110_lambdaRed.CDS.837
b0836,yliH,20,W3110_lambdaRed.CDS.838
b0837,yliI,20,W3110_lambdaRed.CDS.839
b0838,yliJ,20,W3110_lambdaRed.CDS.840
b0839,dacC,20,W3110_lambdaRed.CDS.841
b0840,deoR,20,W3110_lambdaRed.CDS.842
b0850,ybjC,20,W3110_lambdaRed.CDS.852
b0851,nfsA,20,W3110_lambdaRed.CDS.853
b0852,rimK,20,W3110_lambdaRed.CDS.854
b0853,ybjN,20,W3110_lambdaRed.CDS.855
b0854,potF,20,W3110_lambdaRed.CDS.857
b0855,potG,20,W3110_lambdaRed.CDS.858
b0856,potH,20,W3110_lambdaRed.CDS.859
b0857,potI,20,W3110_lambdaRed.CDS.860
b0858,ybjO,20,W3110_lambdaRed.CDS.861
b0859,rumB,20,W3110_lambdaRed.CDS.862
b0860,artJ,20,W3110_lambdaRed.CDS.863
b0861,artM,20,W3110_lambdaRed.CDS.864
b0862,artQ,20,W3110_lambdaRed.CDS.865
b0863,artI,20,W3110_lambdaRed.CDS.866
b0864,artP,20,W3110_lambdaRed.CDS.867
b0865,ybjP,20,W3110_lambdaRed.CDS.868
b0866,ybjQ,20,W3110_lambdaRed.CDS.869
b0867,ybjR,20,W3110_lambdaRed.CDS.870
b0868,ybjS,20,W3110_lambdaRed.CDS.871
b0869,ybjT,20,W3110_lambdaRed.CDS.872
b0986,ymcC,1,
b0987,ymcD,1,
b0988,insB,1,
b0989,cspH,1,
b0990,cspG,1,
b0991,ymcE,1,
b0992,yccM,1,
b0993,torS,1,
b0994,torT,1,
b0995,torR,1,
b0996,torC,1,
b0997,torA,1,
b0998,torD,1,
b0999,cbpM,1,
b1000,cbpA,1,
b1001,yccE,1,
b1002,agp,1,
b1003,yccJ,1,
b1004,wrbA,1,
b1006,ycdG,1,
b1007,ycdH,1,
b1008,ycdI,1,
b1009,rarA,1,
b1010,ycdK,1,
b1011,ycdL,1,
b1012,ycdM,1,
b1013,ycdC,1,
b1014,putA,1,
b1015,putP,1,
b1018,ycdO,1,
b1019,ycdB,1,
b1020,phoH,1,
b1021,ycdP,1,
b1022,ycdQ,1,
b1023,ycdR,1,
b1024,ycdS,1,
b1025,ycdT,1,
b1026,insF,1,
b1027,insE,1,W3110_lambdaRed.CDS.2074
b1027,insE,1,W3110_lambdaRed.CDS.295
b1027,insE,1,W3110_lambdaRed.CDS.369
b1027,insE,1,W3110_lambdaRed.CDS.540
b1029,ycdU,1,
b1137,ymfD,4,
b1138,ymfE,4,W3110_lambdaRed.CDS.1103
b1139,lit,4,W3110_lambdaRed.CDS.1104
b1140,intE,4,W3110_lambdaRed.CDS.1105
b1141,ymfG,4,
b1142,ymfH,4,
b1143,ymfI,4,W3110_lambdaRed.CDS.1106
b1144,ymfJ,4,
b1145,ymfK,4,W3110_lambdaRed.CDS.1107
b1146,ymfT,4,W3110_lambdaRed.CDS.1109
b1147,ymfL,4,W3110_lambdaRed.CDS.1110
b1148,ymfM,4,
b1149,ymfN,4,W3110_lambdaRed.CDS.1112
b1150,ymfR,4,W3110_lambdaRed.CDS.1113
b1151,ymfO,4,W3110_lambdaRed.CDS.1114
b1152,ymfP,4,W3110_lambdaRed.CDS.1115
b1153,ymfQ,4,W3110_lambdaRed.CDS.1116
b1154,ycfK,4,W3110_lambdaRed.CDS.1117
b1155,ymfS,4,W3110_lambdaRed.CDS.1118
b1156,tfaE,4,W3110_lambdaRed.CDS.1119
b1158,pin,4,W3110_lambdaRed.CDS.1121
b1159,mcrA,4,W3110_lambdaRed.CDS.1122
b1160,elbA,4,
b1161,ycgX,4,W3110_lambdaRed.CDS.1124
b1162,ycgE,4,W3110_lambdaRed.CDS.1125
b1163,ycgF,4,W3110_lambdaRed.CDS.1126
b1164,ycgZ,4,
b1165,ymgA,4,
b1166,ymgB,4,W3110_lambdaRed.CDS.1127
b1167,ymgC,4,W3110_lambdaRed.CDS.1128
b1168,ycgG,4,W3110_lambdaRed.CDS.1129
b1171,ymgD,4,W3110_lambdaRed.CDS.1135
b1172,ymgG,4,W3110_lambdaRed.CDS.1136
b1540,ydfH,5,W3110_lambdaRed.CDS.1526
b1541,ydfZ,5,W3110_lambdaRed.CDS.1527
b1542,ydfI,5,W3110_lambdaRed.CDS.1528
b1543,ydfJ,5,W3110_lambdaRed.CDS.1529
b1544,ydfK,5,W3110_lambdaRed.CDS.1530
b1545,pinQ,5,W3110_lambdaRed.CDS.1531
b1546,tfaQ,5,W3110_lambdaRed.CDS.1532
b1547,stfQ,5,W3110_lambdaRed.CDS.1533
b1548,nohA,5,W3110_lambdaRed.CDS.1534
b1549,ydfO,5,
b1550,gnsB,5,W3110_lambdaRed.CDS.1537
b1551,ynfN,5,
b1552,cspI,5,W3110_lambdaRed.CDS.1538
b1554,ydfQ,5,W3110_lambdaRed.CDS.1540
b1555,ydfR,5,W3110_lambdaRed.CDS.1541
b1556,essQ,5,W3110_lambdaRed.CDS.1542
b1557,cspB,5,W3110_lambdaRed.CDS.1543
b1558,cspF,5,W3110_lambdaRed.CDS.1544
b1559,ydfT,5,W3110_lambdaRed.CDS.1545
b1560,ydfU,5,W3110_lambdaRed.CDS.1546
b1561,rem,5,W3110_lambdaRed.CDS.1547
b1562,hokD,5,
b1563,relE,5,
b1564,relB,5,W3110_lambdaRed.CDS.1549
b1565,ydfV,5,
b1566,flxA,5,W3110_lambdaRed.CDS.1550
b1567,ydfW,5,
b1568,ydfX,5,W3110_lambdaRed.CDS.1551
b1569,dicC,5,W3110_lambdaRed.CDS.1552
b1767,ansA,29,W3110_lambdaRed.CDS.1755
b1768,pncA,29,W3110_lambdaRed.CDS.1756
b1769,ydjE,29,W3110_lambdaRed.CDS.1757
b1770,ydjF,29,W3110_lambdaRed.CDS.1758
b1771,ydjG,29,W3110_lambdaRed.CDS.1759
b1772,ydjH,29,W3110_lambdaRed.CDS.1760
b1773,ydjI,29,W3110_lambdaRed.CDS.1761
b1774,ydjJ,29,W3110_lambdaRed.CDS.1762
b1775,ydjK,29,W3110_lambdaRed.CDS.1763
b1776,ydjL,29,W3110_lambdaRed.CDS.1764
b1777,yeaC,29,W3110_lambdaRed.CDS.1765
b1778,yeaA,29,W3110_lambdaRed.CDS.1766
b1787,yeaK,29,W3110_lambdaRed.CDS.1775
b1788,yoaI,29,
b1789,yeaL,29,W3110_lambdaRed.CDS.1776
b1790,yeaM,29,W3110_lambdaRed.CDS.1777
b1791,yeaN,29,W3110_lambdaRed.CDS.1778
b1792,yeaO,29,W3110_lambdaRed.CDS.1779
b1793,yoaF,29,W3110_lambdaRed.CDS.1780
b1794,yeaP,29,W3110_lambdaRed.CDS.1781
b1795,yeaQ,29,W3110_lambdaRed.CDS.1783
b1796,yoaG,29,W3110_lambdaRed.CDS.1784
b1797,yeaR,29,W3110_lambdaRed.CDS.1785
b1798,yeaS,29,W3110_lambdaRed.CDS.1787
b1799,yeaT,29,W3110_lambdaRed.CDS.1788
b1800,yeaU,29,W3110_lambdaRed.CDS.1789
b1801,yeaV,29,W3110_lambdaRed.CDS.1790
b1802,yeaW,29,W3110_lambdaRed.CDS.1791
b1803,yeaX,29,W3110_lambdaRed.CDS.1792
b1877,yecT,11,W3110_lambdaRed.CDS.1869
b1878,flhE,11,W3110_lambdaRed.CDS.1870
b1879,flhA,11,W3110_lambdaRed.CDS.1871
b1880,flhB,11,W3110_lambdaRed.CDS.1872
b1881,cheZ,11,W3110_lambdaRed.CDS.1874
b1882,cheY,11,
b1883,cheB,11,
b1884,cheR,11,W3110_lambdaRed.CDS.1877
b1885,tap,11,W3110_lambdaRed.CDS.1878
b1886,tar,11,W3110_lambdaRed.CDS.1879
b1887,cheW,11,W3110_lambdaRed.CDS.1880
b1888,cheA,11,
b1889,motB,11,W3110_lambdaRed.CDS.1882
b1890,motA,11,W3110_lambdaRed.CDS.1883
b1891,flhC,11,W3110_lambdaRed.CDS.1884
b1892,flhD,11,W3110_lambdaRed.CDS.1885
b1895,yecG,11,W3110_lambdaRed.CDS.1888
b1896,otsA,11,W3110_lambdaRed.CDS.1889
b1897,otsB,11,W3110_lambdaRed.CDS.1890
b1900,araG,11,W3110_lambdaRed.CDS.1892
b1901,araF,11,W3110_lambdaRed.CDS.1893
b1902,yecI,11,W3110_lambdaRed.CDS.1894
b1904,yecR,11,
b1905,ftn,11,W3110_lambdaRed.CDS.1898
b1906,yecH,11,W3110_lambdaRed.CDS.1899
b1907,tyrP,11,W3110_lambdaRed.CDS.1901
b1913,uvrC,11,W3110_lambdaRed.CDS.1904
b1914,uvrY,11,
b1915,yecF,11,W3110_lambdaRed.CDS.1907
b1916,sdiA,11,W3110_lambdaRed.CDS.1908
b1917,yecC,11,W3110_lambdaRed.CDS.1909
b1918,yecS,11,W3110_lambdaRed.CDS.1910
b1919,yedO,11,W3110_lambdaRed.CDS.1911
b1920,fliY,11,W3110_lambdaRed.CDS.1912
b1921,fliZ,11,W3110_lambdaRed.CDS.1913
b1922,fliA,11,W3110_lambdaRed.CDS.1914
b1923,fliC,11,W3110_lambdaRed.CDS.1915
b1924,fliD,11,W3110_lambdaRed.CDS.1916
b1925,fliS,11,W3110_lambdaRed.CDS.1917
b1926,fliT,11,W3110_lambdaRed.CDS.1918
b1927,amyA,11,W3110_lambdaRed.CDS.1919
b1928,yedD,11,W3110_lambdaRed.CDS.1920
b1929,yedE,11,W3110_lambdaRed.CDS.1921
