$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-01_cumate	MGF-01_cumate_cumulative_abundance
PM0-10408	8	promoter	0.018647166074	-0.0	0.114793112388
PM0-10406	8	promoter	0.018647166074	-0.0	0.114793112388
b0603	8	gene	0.018647166074	-0.0	0.114787022352
PM0-10368	8	promoter	0.018647166074	-0.0	0.114787022352
b0602	8	gene	0.018647166074	-0.0	0.114787022352
b0601	8	gene	0.018647166074	-0.0	0.114787022352
b0600	8	gene	0.018647166074	-0.0	0.114787022352
b0599	8	gene	0.018647166074	-0.0	0.114787022352
b4512	8	gene	0.018647166074	-0.0	0.114787022352
b0598	8	gene	0.018647166074	0.0	0.114787022352
PM0-7163	8	promoter	0.018647166074	-0.0	0.114787022352
b1580	7	gene	0.017189883798	0.0103823552524	0.287333978119
b1581	7	gene	0.017189883798	0.0065508550422	0.297716333371
b1584	7	gene	0.017189883798	0.000113824447909	0.30433328253
b1583	7	gene	0.017189883798	6.60941161225e-05	0.304267188413
b1586	7	gene	0.017189883798	5.61084382704e-05	0.304450800193
b1588	7	gene	0.017189883798	1.46012295324e-05	0.304506908631
b1585	7	gene	0.017189883798	3.69321530471e-06	0.304447106977
b1589	7	gene	0.017189883798	2.35205688595e-06	0.304521509861
b1592	7	gene	0.017189883798	-0.0	0.304523861917
b1591	7	gene	0.017189883798	0.0	0.304523861917
b1590	7	gene	0.017189883798	-0.0	0.304523861917
b1587	7	gene	0.017189883798	-0.0	0.304506908631
PM0-5721	7	promoter	0.017189883798	-0.0	0.304506908631
PM0-10047	7	promoter	0.017189883798	-0.0	0.304267188413
b1582	7	gene	0.017189883798	-0.0	0.304267188413
b1579	7	gene	0.017189883798	-0.0	0.287333978119
b1578	7	gene	0.017189883798	-0.0	0.287333978119
b1577	7	gene	0.017189883798	-0.0	0.287333978119
b1576	7	gene	0.017189883798	-0.0	0.287333978119
b1575	7	gene	0.017189883798	-0.0	0.287333978119
PM0-9327	7	promoter	0.017189883798	-0.0	0.287333978119
b2414	6	gene	0.015700388292	0.0156918784767	0.401195074258
b2413	6	gene	0.015700388292	8.50981556436e-06	0.401186564442
PM0-10091	6	promoter	0.015700388292	-0.0	0.401195074258
b1243	5	gene	0.014921445269	0.00728883390244	0.245612819962
b1241	5	gene	0.014921445269	0.00610208930496	0.239510730657
b1251	5	gene	0.014921445269	0.000632781608481	0.253761043141
b1247	5	gene	0.014921445269	0.000277126612608	0.253431730551
b1246	5	gene	0.014921445269	0.000240337148039	0.253191393403
b1245	5	gene	0.014921445269	0.000201635442613	0.252989757961
b1244	5	gene	0.014921445269	8.81040962161e-05	0.252901653865
b1238	5	gene	0.014921445269	3.83511775192e-05	0.23947237948
b1248	5	gene	0.014921445269	3.19808126178e-05	0.253708857164
b1250	5	gene	0.014921445269	1.70975882283e-05	0.253743945553
b1249	5	gene	0.014921445269	3.10757610358e-06	0.253740837977
PM0-10028	5	promoter	0.014921445269	-0.0	0.254393824749
b4595	5	gene	0.014921445269	-0.0	0.253743945553
PM1023	5	promoter	0.014921445269	-0.0	0.253743945553
PM00306	5	promoter	0.014921445269	-0.0	0.245612819962
b1242	5	gene	0.014921445269	-0.0	0.245612819962
PM00279	5	promoter	0.014921445269	-0.0	0.245612819962
b4573	5	gene	0.014921445269	-0.0	0.239510730657
b0436	4	gene	0.0142101520702	0.0106984481877	0.0883559698848
b0439	4	gene	0.0142101520702	0.00149640873843	0.101069713216
b0437	4	gene	0.0142101520702	0.00121901793239	0.0990544180726
b0438	4	gene	0.0142101520702	0.000796277211476	0.100273436005
PM00511	4	promoter	0.0142101520702	-0.0	0.101069713216
sraA	4	gene	0.0142101520702	-0.0	0.101069713216
PM0-9696	4	promoter	0.0142101520702	-0.0	0.100273436005
PM00569	4	promoter	0.0142101520702	-0.0	0.0990544180726
PM0-9744	4	promoter	0.0142101520702	-0.0	0.0990544180726
PM00339	4	promoter	0.0142101520702	-0.0	0.0990544180726
PM0-9980	4	promoter	0.0142101520702	-0.0	0.0883559698848
b0014	3	gene	0.0104116082524	0.00978254693028	0.00485026857763
b0015	3	gene	0.0104116082524	0.000629061322072	0.0146328155079
b0016	3	gene	0.0104116082524	-0.0	0.01526187683
PM00316	3	promoter	0.0104116082524	-0.0	0.00485026857763
b0013	3	gene	0.0104116082524	-0.0	0.00485026857763
b4015	2	gene	0.007626594666	0.00545474855375	0.913394689573
b4014	2	gene	0.007626594666	0.00216802107059	0.911226668502
b4016	2	gene	0.007626594666	3.8250418384e-06	0.918849438127
PM00001	2	promoter	0.007626594666	-0.0	0.911226668502
b1676	1	gene	0.007518350221	0.00503529163956	0.314855528782
b1677	1	gene	0.007518350221	0.00157983125184	0.319890820422
b1687	1	gene	0.007518350221	0.000351700389181	0.321748911441
b1667	1	gene	0.007518350221	0.000130458025561	0.314662228554
b1678	1	gene	0.007518350221	9.03356282472e-05	0.321470651673
b1664	1	gene	0.007518350221	7.53579030919e-05	0.314586870651
b1682	1	gene	0.007518350221	5.6865214456e-05	0.321613088538
b1686	1	gene	0.007518350221	4.67356380099e-05	0.321702175803
b1674	1	gene	0.007518350221	2.97203187917e-05	0.314798502182
b1680	1	gene	0.007518350221	2.876177218e-05	0.321560987302
b1683	1	gene	0.007518350221	2.85992071555e-05	0.321669953753
b1675	1	gene	0.007518350221	2.73062813244e-05	0.314828222501
b1681	1	gene	0.007518350221	2.33394645192e-05	0.321589749074
b1668	1	gene	0.007518350221	5.81560232633e-06	0.31479268658
b1688	1	gene	0.007518350221	4.60904237401e-06	0.32210061183
b1685	1	gene	0.007518350221	3.62284261084e-06	0.32169855296
b4430	1	gene	0.007518350221	-0.0	0.32169855296
PM0-2801	1	promoter	0.007518350221	-0.0	0.32169855296
b1684	1	gene	0.007518350221	0.0	0.32169855296
b1679	1	gene	0.007518350221	-0.0	0.321560987302
PM0-8763	1	promoter	0.007518350221	-0.0	0.319890820422
PM00585	1	promoter	0.007518350221	-0.0	0.314855528782
PM0-10196	1	promoter	0.007518350221	-0.0	0.314828222501
b1673	1	gene	0.007518350221	0.0	0.314798502182
b1672	1	gene	0.007518350221	-0.0	0.314798502182
b1671	1	gene	0.007518350221	-0.0	0.314798502182
b1670	1	gene	0.007518350221	-0.0	0.314798502182
b1669	1	gene	0.007518350221	-0.0	0.314798502182
b1666	1	gene	0.007518350221	-0.0	0.314662228554
b1665	1	gene	0.007518350221	-0.0	0.314662228554
PM00648	1	promoter	0.007518350221	-0.0	0.314662228554
PM0-9712	1	promoter	0.007518350221	-0.0	0.314662228554
