$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	MGF-02_control	MGF-02_control_cumulative_abundance
b1589	4	gene	0.014465735317	2.85372367507e-06	0.298548284596
b1591	4	gene	0.014465735317	0.0	0.29855113832
b1590	4	gene	0.014465735317	-0.0	0.29855113832
b1587	4	gene	0.014465735317	-0.0	0.298543260081
PM0-5721	4	promoter	0.014465735317	-0.0	0.298543260081
b1585	4	gene	0.014465735317	0.0	0.298468806222
PM0-10047	4	promoter	0.014465735317	-0.0	0.298322570493
b1582	4	gene	0.014465735317	-0.0	0.298322570493
b0436	3	gene	0.0100733943257	0.00778107746172	0.0828788055124
b0437	3	gene	0.0100733943257	0.000966752780088	0.0906598829741
b0439	3	gene	0.0100733943257	0.00071193707321	0.0922402627649
b0438	3	gene	0.0100733943257	0.000613627010693	0.0916266357542
PM00511	3	promoter	0.0100733943257	-0.0	0.0922402627649
sraA	3	gene	0.0100733943257	-0.0	0.0922402627649
PM0-9696	3	promoter	0.0100733943257	-0.0	0.0916266357542
PM00569	3	promoter	0.0100733943257	-0.0	0.0906598829741
PM0-9744	3	promoter	0.0100733943257	-0.0	0.0906598829741
PM00339	3	promoter	0.0100733943257	-0.0	0.0906598829741
PM0-9980	3	promoter	0.0100733943257	-0.0	0.0828788055124
b0014	2	gene	0.00752493673456	0.00722758355852	0.00428641425414
b0015	2	gene	0.00752493673456	0.000297353176042	0.0115139978127
PM00316	2	promoter	0.00752493673456	-0.0	0.00428641425414
b0013	2	gene	0.00752493673456	-0.0	0.00428641425414
b0011	2	gene	0.00752493673456	-0.0	0.00428641425414
b2465	1	gene	0.007365254622	0.00502533417295	0.4249810582
b2464	1	gene	0.007365254622	0.000632875861056	0.424348182339
b2463	1	gene	0.007365254622	0.000564215909436	0.42378396643
b2468	1	gene	0.007365254622	0.000364245912049	0.430026110986
b2431	1	gene	0.007365254622	0.000362889066557	0.423265666714
b2470	1	gene	0.007365254622	0.000238407951589	0.430390356898
b2439	1	gene	0.007365254622	4.12935912626e-05	0.423706188255
b2434	1	gene	0.007365254622	3.60503597088e-05	0.42365888467
b2432	1	gene	0.007365254622	3.03288902087e-05	0.42362855578
b2441	1	gene	0.007365254622	2.10915530855e-05	0.423762874877
b2467	1	gene	0.007365254622	1.97186133035e-05	0.430006392373
b2440	1	gene	0.007365254622	1.53930301066e-05	0.423747481846
b2435	1	gene	0.007365254622	5.96045152192e-06	0.42369493503
b2436	1	gene	0.007365254622	5.29277353919e-06	0.423700895482
b2471	1	gene	0.007365254622	2.15648619326e-06	0.43062876485
PM0-36248	1	promoter	0.007365254622	-0.0	0.43062876485
b4606	1	gene	0.007365254622	-0.0	0.43062876485
PM0-8401	1	promoter	0.007365254622	-0.0	0.430390356898
b2469	1	gene	0.007365254622	-0.0	0.430390356898
PM0-36247	1	promoter	0.007365254622	-0.0	0.430390356898
b2466	1	gene	0.007365254622	-0.0	0.430006392373
PM0-7682	1	promoter	0.007365254622	-0.0	0.4249810582
PM0-10095	1	promoter	0.007365254622	-0.0	0.424348182339
PM0-8523	1	promoter	0.007365254622	-0.0	0.424348182339
b2462	1	gene	0.007365254622	-0.0	0.42378396643
b2461	1	gene	0.007365254622	-0.0	0.42378396643
b2460	1	gene	0.007365254622	-0.0	0.42378396643
b2459	1	gene	0.007365254622	-0.0	0.42378396643
b2458	1	gene	0.007365254622	-0.0	0.42378396643
b2457	1	gene	0.007365254622	-0.0	0.42378396643
b2456	1	gene	0.007365254622	-0.0	0.42378396643
b2455	1	gene	0.007365254622	-0.0	0.42378396643
b2454	1	gene	0.007365254622	-0.0	0.42378396643
b2453	1	gene	0.007365254622	-0.0	0.42378396643
b2452	1	gene	0.007365254622	-0.0	0.42378396643
b2451	1	gene	0.007365254622	-0.0	0.42378396643
b2450	1	gene	0.007365254622	-0.0	0.42378396643
b2449	1	gene	0.007365254622	-0.0	0.42378396643
b2448	1	gene	0.007365254622	-0.0	0.42378396643
b2447	1	gene	0.007365254622	-0.0	0.42378396643
b2446	1	gene	0.007365254622	-0.0	0.42378396643
PM0-46124	1	promoter	0.007365254622	-0.0	0.42378396643
b2445	1	gene	0.007365254622	-0.0	0.42378396643
b2444	1	gene	0.007365254622	-0.0	0.42378396643
b2443	1	gene	0.007365254622	-0.0	0.42378396643
b2442	1	gene	0.007365254622	-0.0	0.42378396643
b2438	1	gene	0.007365254622	-0.0	0.423706188255
b2437	1	gene	0.007365254622	-0.0	0.423706188255
PM0-2922	1	promoter	0.007365254622	-0.0	0.423700895482
PM0-2921	1	promoter	0.007365254622	-0.0	0.42369493503
b2433	1	gene	0.007365254622	-0.0	0.42365888467
PM0-3684	1	promoter	0.007365254622	-0.0	0.42365888467
b2430	1	gene	0.007365254622	-0.0	0.423265666714
