$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_12_lowOD_control	Step_12_lowOD_control_cumulative_abundance
PM00569	6	promoter	0.0106033642477	-0.0	0.0983627706659
PM0-9744	6	promoter	0.0106033642477	-0.0	0.0983627706659
PM00339	6	promoter	0.0106033642477	-0.0	0.0983627706659
PM0-9980	6	promoter	0.0106033642477	-0.0	0.0902353068063
b0033	5	gene	0.0087967201212	0.00629412632533	0.0170794888805
b0032	5	gene	0.0087967201212	0.00250259379592	0.0145768950846
PM00319	5	promoter	0.0087967201212	-0.0	0.0170794888805
PM00151	5	promoter	0.0087967201212	-0.0	0.0145768950846
b2296	4	gene	0.007951078796	0.00398763481138	0.383021504829
b2297	4	gene	0.007951078796	0.00293359817349	0.387009139641
b2300	4	gene	0.007951078796	0.000185804647439	0.39008057475
b2309	4	gene	0.007951078796	0.000177125713034	0.390431760955
b2294	4	gene	0.007951078796	0.000170030851902	0.38285139104
b2290	4	gene	0.007951078796	0.00016125983994	0.382664152391
b2303	4	gene	0.007951078796	0.000138993168747	0.390273373133
b2299	4	gene	0.007951078796	0.000112228266956	0.389968346483
b2298	4	gene	0.007951078796	2.56086689841e-05	0.389942737814
b2293	4	gene	0.007951078796	2.11017932808e-05	0.382830289247
b2306	4	gene	0.007951078796	1.29216652562e-05	0.39041883929
b2301	4	gene	0.007951078796	6.99373538573e-06	0.390266379398
b2304	4	gene	0.007951078796	6.47298792305e-06	0.390412366302
b2310	4	gene	0.007951078796	6.34451943446e-06	0.390608886668
b2291	4	gene	0.007951078796	4.87701594433e-06	0.382825412231
b2295	4	gene	0.007951078796	8.29375161678e-08	0.383021421892
PM0-3781	4	promoter	0.007951078796	-0.0	0.390615231187
PM0-9577	4	promoter	0.007951078796	-0.0	0.390608886668
b2308	4	gene	0.007951078796	-0.0	0.390431760955
b2307	4	gene	0.007951078796	-0.0	0.390431760955
b2305	4	gene	0.007951078796	-0.0	0.39041883929
b2302	4	gene	0.007951078796	-0.0	0.390273373133
PM00524	4	promoter	0.007951078796	-0.0	0.383021504829
PM0-46328	4	promoter	0.007951078796	-0.0	0.383021421892
b2292	4	gene	0.007951078796	-0.0	0.382830289247
PM0-45323	4	promoter	0.007951078796	-0.0	0.382825412231
PM0-45322	4	promoter	0.007951078796	-0.0	0.382664152391
b0605	3	gene	0.007600453167	0.00645903222039	0.113459250338
b0606	3	gene	0.007600453167	0.000702723048033	0.119918282558
b0607	3	gene	0.007600453167	0.00024586730046	0.120621005606
b0598	3	gene	0.007600453167	9.75693777075e-05	0.113358806823
b0611	3	gene	0.007600453167	5.10691218502e-05	0.120908190868
b0610	3	gene	0.007600453167	4.13179616319e-05	0.120866872906
b0604	3	gene	0.007600453167	2.87413720972e-06	0.1134563762
PM0-9991	3	promoter	0.007600453167	-0.0	0.12095925999
b0608	3	gene	0.007600453167	0.0	0.120866872906
PM0-9990	3	promoter	0.007600453167	-0.0	0.120866872906
PM-8821	3	promoter	0.007600453167	-0.0	0.119918282558
PM00102	3	promoter	0.007600453167	-0.0	0.113459250338
PM0-10408	3	promoter	0.007600453167	-0.0	0.113459250338
PM0-10406	3	promoter	0.007600453167	-0.0	0.113459250338
b0603	3	gene	0.007600453167	-0.0	0.1134563762
PM0-10368	3	promoter	0.007600453167	-0.0	0.1134563762
b0602	3	gene	0.007600453167	-0.0	0.1134563762
b0601	3	gene	0.007600453167	-0.0	0.1134563762
b0600	3	gene	0.007600453167	-0.0	0.1134563762
b0599	3	gene	0.007600453167	-0.0	0.1134563762
b4512	3	gene	0.007600453167	-0.0	0.1134563762
PM0-7163	3	promoter	0.007600453167	-0.0	0.113358806823
b3984	2	gene	0.00729159182	0.00470842970254	0.88740906206
b3983	2	gene	0.00729159182	0.0025831621173	0.884825899943
PM00496	2	promoter	0.00729159182	-0.0	0.884825899943
b2465	1	gene	0.007055863909	0.00528721629784	0.421932581283
b2431	1	gene	0.007055863909	0.000529074080469	0.420660526694
b2468	1	gene	0.007055863909	0.000421649233108	0.427237990046
b2463	1	gene	0.007055863909	0.000315137085747	0.421361347488
b2464	1	gene	0.007055863909	0.000256096709168	0.421676484573
b2439	1	gene	0.007055863909	5.50868548376e-05	0.421260442475
b2470	1	gene	0.007055863909	4.58985194226e-05	0.427659639279
b2441	1	gene	0.007055863909	3.59485769859e-05	0.421325398911
b2432	1	gene	0.007055863909	3.35478832466e-05	0.421189600775
b2434	1	gene	0.007055863909	1.87987901341e-05	0.421223148658
b2435	1	gene	0.007055863909	1.81994738723e-05	0.421241947448
b2467	1	gene	0.007055863909	1.81924653533e-05	0.42721979758
b2471	1	gene	0.007055863909	1.08528051585e-05	0.427705537798
b2440	1	gene	0.007055863909	9.86958107787e-06	0.42131552933
b2436	1	gene	0.007055863909	2.95552540933e-07	0.421260146922
PM0-36248	1	promoter	0.007055863909	-0.0	0.427705537798
b4606	1	gene	0.007055863909	-0.0	0.427705537798
PM0-8401	1	promoter	0.007055863909	-0.0	0.427659639279
b2469	1	gene	0.007055863909	-0.0	0.427659639279
PM0-36247	1	promoter	0.007055863909	-0.0	0.427659639279
b2466	1	gene	0.007055863909	-0.0	0.42721979758
PM0-7682	1	promoter	0.007055863909	-0.0	0.421932581283
PM0-10095	1	promoter	0.007055863909	-0.0	0.421676484573
PM0-8523	1	promoter	0.007055863909	-0.0	0.421676484573
b2462	1	gene	0.007055863909	-0.0	0.421361347488
b2461	1	gene	0.007055863909	-0.0	0.421361347488
b2460	1	gene	0.007055863909	-0.0	0.421361347488
b2459	1	gene	0.007055863909	-0.0	0.421361347488
b2458	1	gene	0.007055863909	-0.0	0.421361347488
b2457	1	gene	0.007055863909	-0.0	0.421361347488
b2456	1	gene	0.007055863909	-0.0	0.421361347488
b2455	1	gene	0.007055863909	-0.0	0.421361347488
b2454	1	gene	0.007055863909	-0.0	0.421361347488
b2453	1	gene	0.007055863909	-0.0	0.421361347488
b2452	1	gene	0.007055863909	-0.0	0.421361347488
b2451	1	gene	0.007055863909	-0.0	0.421361347488
b2450	1	gene	0.007055863909	-0.0	0.421361347488
b2449	1	gene	0.007055863909	-0.0	0.421361347488
b2448	1	gene	0.007055863909	-0.0	0.421361347488
b2447	1	gene	0.007055863909	-0.0	0.421361347488
b2446	1	gene	0.007055863909	-0.0	0.421361347488
PM0-46124	1	promoter	0.007055863909	-0.0	0.421361347488
b2445	1	gene	0.007055863909	-0.0	0.421361347488
b2444	1	gene	0.007055863909	-0.0	0.421361347488
b2443	1	gene	0.007055863909	-0.0	0.421361347488
b2442	1	gene	0.007055863909	-0.0	0.421361347488
b2438	1	gene	0.007055863909	-0.0	0.421260442475
b2437	1	gene	0.007055863909	-0.0	0.421260442475
PM0-2922	1	promoter	0.007055863909	-0.0	0.421260146922
PM0-2921	1	promoter	0.007055863909	-0.0	0.421241947448
b2433	1	gene	0.007055863909	-0.0	0.421223148658
PM0-3684	1	promoter	0.007055863909	-0.0	0.421223148658
