$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	W3110_control	W3110_control_cumulative_abundance
b3892	10	gene	0.006688682828	-0.0	0.871509937271
b3890	10	gene	0.006688682828	-0.0	0.871338009197
b3889	10	gene	0.006688682828	-0.0	0.871338009197
b3886	10	gene	0.006688682828	-0.0	0.871289410285
PM0-10169	10	promoter	0.006688682828	-0.0	0.871287056225
b3883	10	gene	0.006688682828	-0.0	0.871278054696
b3882	10	gene	0.006688682828	-0.0	0.871278054696
b3881	10	gene	0.006688682828	-0.0	0.871278054696
b3880	10	gene	0.006688682828	-0.0	0.871278054696
b3879	10	gene	0.006688682828	-0.0	0.871278054696
b3877	10	gene	0.006688682828	-0.0	0.871271939132
b3876	10	gene	0.006688682828	-0.0	0.871271939132
b3875	10	gene	0.006688682828	-0.0	0.871271939132
b3874	10	gene	0.006688682828	-0.0	0.871271939132
b3873	10	gene	0.006688682828	-0.0	0.871271939132
b3872	10	gene	0.006688682828	-0.0	0.871271939132
PM00034	10	promoter	0.006688682828	-0.0	0.867825280948
b2296	9	gene	0.006615741756	0.00305351827889	0.34373687072
b2297	9	gene	0.006615741756	0.0025998895141	0.346790388999
b2294	9	gene	0.006615741756	0.000430078689631	0.343304401049
b2290	9	gene	0.006615741756	0.000197981384453	0.343097280096
b2300	9	gene	0.006615741756	9.56368917417e-05	0.349450975565
b2303	9	gene	0.006615741756	7.87333091718e-05	0.349558440248
b2309	9	gene	0.006615741756	5.13605483499e-05	0.349661661303
b2299	9	gene	0.006615741756	4.40063514295e-05	0.349406969213
b2304	9	gene	0.006615741756	1.77500801489e-05	0.349637173557
b2298	9	gene	0.006615741756	1.66906998867e-05	0.349390278513
b2301	9	gene	0.006615741756	1.18277917899e-05	0.349546612456
b2306	9	gene	0.006615741756	6.73766600384e-06	0.349654923637
b2291	9	gene	0.006615741756	5.27095014907e-06	0.34329526148
b2293	9	gene	0.006615741756	3.86861819494e-06	0.343300532431
b2295	9	gene	0.006615741756	2.39098182767e-06	0.343734479738
PM0-3781	9	promoter	0.006615741756	-0.0	0.349713021852
b2310	9	gene	0.006615741756	0.0	0.349713021852
PM0-9577	9	promoter	0.006615741756	-0.0	0.349713021852
b2308	9	gene	0.006615741756	-0.0	0.349661661303
b2307	9	gene	0.006615741756	-0.0	0.349661661303
b2305	9	gene	0.006615741756	-0.0	0.349654923637
b2302	9	gene	0.006615741756	-0.0	0.349558440248
PM00524	9	promoter	0.006615741756	-0.0	0.34373687072
PM0-46328	9	promoter	0.006615741756	-0.0	0.343734479738
b2292	9	gene	0.006615741756	-0.0	0.343300532431
PM0-45323	9	promoter	0.006615741756	-0.0	0.34329526148
PM0-45322	9	promoter	0.006615741756	-0.0	0.343097280096
b2185	8	gene	0.006412650109	0.00306656589372	0.329866205163
b2167	8	gene	0.006412650109	0.000976827094965	0.326793577707
b2171	8	gene	0.006412650109	0.000763946795078	0.328917844066
b2169	8	gene	0.006412650109	0.000753584564524	0.328164259501
b2168	8	gene	0.006412650109	0.000393854699243	0.327770404802
b2186	8	gene	0.006412650109	0.000206281073074	0.332932771056
b2183	8	gene	0.006412650109	0.000136311671185	0.329729893491
b2187	8	gene	0.006412650109	6.71756864318e-05	0.333139052129
b2180	8	gene	0.006412650109	1.58352468241e-05	0.32970834767
b2175	8	gene	0.006412650109	1.08763834307e-05	0.32969322183
b2173	8	gene	0.006412650109	1.07574094471e-05	0.329681790861
b2181	8	gene	0.006412650109	5.71057416783e-06	0.329724182917
b2177	8	gene	0.006412650109	4.24945679415e-06	0.329704098214
b2174	8	gene	0.006412650109	6.73559727394e-07	0.32969254827
PM0-46360	8	promoter	0.006412650109	-0.0	0.329866205163
b2184	8	gene	0.006412650109	0.0	0.329866205163
PM0-10470	8	promoter	0.006412650109	-0.0	0.329866205163
b2182	8	gene	0.006412650109	-0.0	0.329729893491
PM0-46319	8	promoter	0.006412650109	-0.0	0.329729893491
b2179	8	gene	0.006412650109	-0.0	0.32970834767
b2178	8	gene	0.006412650109	0.0	0.32970834767
b2176	8	gene	0.006412650109	-0.0	0.329704098214
PM0-46320	8	promoter	0.006412650109	-0.0	0.32969322183
b2172	8	gene	0.006412650109	-0.0	0.329681790861
PM0-36246	8	promoter	0.006412650109	-0.0	0.328917844066
PM0-36245	8	promoter	0.006412650109	-0.0	0.328917844066
b4502	8	gene	0.006412650109	-0.0	0.328917844066
b2170	8	gene	0.006412650109	-0.0	0.328917844066
PM00221	8	promoter	0.006412650109	-0.0	0.328917844066
b2166	8	gene	0.006412650109	-0.0	0.326793577707
b2165	8	gene	0.006412650109	-0.0	0.326793577707
b2164	8	gene	0.006412650109	-0.0	0.326793577707
b0605	7	gene	0.005725903383	0.00446625742279	0.108782996062
b0606	7	gene	0.005725903383	0.000670480907914	0.113249253485
b0607	7	gene	0.005725903383	0.000459585183054	0.113919734393
b0611	7	gene	0.005725903383	6.94282146631e-05	0.114401141779
b0598	7	gene	0.005725903383	3.64117309829e-05	0.108744666611
b0610	7	gene	0.005725903383	2.18222032337e-05	0.114379319576
b0604	7	gene	0.005725903383	1.917720717e-06	0.108781078341
PM0-9991	7	promoter	0.005725903383	-0.0	0.114470569994
b0608	7	gene	0.005725903383	0.0	0.114379319576
PM0-9990	7	promoter	0.005725903383	-0.0	0.114379319576
PM-8821	7	promoter	0.005725903383	-0.0	0.113249253485
PM00102	7	promoter	0.005725903383	-0.0	0.108782996062
PM0-10408	7	promoter	0.005725903383	-0.0	0.108782996062
PM0-10406	7	promoter	0.005725903383	-0.0	0.108782996062
b0603	7	gene	0.005725903383	-0.0	0.108781078341
PM0-10368	7	promoter	0.005725903383	-0.0	0.108781078341
b0602	7	gene	0.005725903383	-0.0	0.108781078341
b0601	7	gene	0.005725903383	-0.0	0.108781078341
b0600	7	gene	0.005725903383	-0.0	0.108781078341
b0599	7	gene	0.005725903383	-0.0	0.108781078341
b4512	7	gene	0.005725903383	-0.0	0.108781078341
PM0-7163	7	promoter	0.005725903383	-0.0	0.108744666611
b0033	6	gene	0.004761352067	0.00371811724711	0.0143713374657
b0032	6	gene	0.004761352067	0.00104323481991	0.0133281026458
PM00319	6	promoter	0.004761352067	-0.0	0.0143713374657
PM00151	6	promoter	0.004761352067	-0.0	0.0133281026458
b1849	5	gene	0.004654175958	0.00232578859215	0.293006503036
b1850	5	gene	0.004654175958	0.00103223749386	0.295332291628
b1830	5	gene	0.004654175958	0.000385605154134	0.291980210513
b1829	5	gene	0.004654175958	0.000142559257279	0.291837651255
b1851	5	gene	0.004654175958	0.000127298091242	0.296364529122
b1831	5	gene	0.004654175958	0.00012174173591	0.292365815667
b1847	5	gene	0.004654175958	0.000118603626128	0.292815671418
b1832	5	gene	0.004654175958	8.78178775733e-05	0.292487557403
b1848	5	gene	0.004654175958	7.22279915704e-05	0.292934275044
b1841	5	gene	0.004654175958	7.01205032496e-05	0.292686564224
b1839	5	gene	0.004654175958	3.76000600059e-05	0.292648964164
b1836	5	gene	0.004654175958	3.42222826882e-05	0.292614741881
b1842	5	gene	0.004654175958	2.60504502363e-05	0.292756684727
b1834	5	gene	0.004654175958	2.49140062149e-05	0.29257537528
b1844	5	gene	0.004654175958	2.08086489785e-05	0.292782735177
b1835	5	gene	0.004654175958	1.4452594682e-05	0.292600289286
b1845	5	gene	0.004654175958	8.51607099228e-06	0.292803543826
b1846	5	gene	0.004654175958	3.61152102894e-06	0.292812059897
PM00313	5	promoter	0.004654175958	-0.0	0.296491827213
PM00384	5	promoter	0.004654175958	-0.0	0.296364529122
PM0-10243	5	promoter	0.004654175958	-0.0	0.293006503036
PM0-9400	5	promoter	0.004654175958	-0.0	0.292815671418
PM0-10064	5	promoter	0.004654175958	-0.0	0.292812059897
b1843	5	gene	0.004654175958	-0.0	0.292782735177
b1840	5	gene	0.004654175958	-0.0	0.292686564224
PM0-9630	5	promoter	0.004654175958	-0.0	0.292648964164
b4433	5	gene	0.004654175958	-0.0	0.292648964164
PM0-9597	5	promoter	0.004654175958	-0.0	0.292648964164
b4432	5	gene	0.004654175958	-0.0	0.292648964164
PM0-3663	5	promoter	0.004654175958	-0.0	0.292648964164
b1838	5	gene	0.004654175958	-0.0	0.292648964164
b1837	5	gene	0.004654175958	-0.0	0.292648964164
b1833	5	gene	0.004654175958	-0.0	0.29257537528
PM00381	5	promoter	0.004654175958	-0.0	0.291980210513
b0014	4	gene	0.00458517576016	0.00422698558694	0.00381209149736
b0015	4	gene	0.00458517576016	0.00035819017322	0.00803907708431
b0018	4	gene	0.00458517576016	-0.0	0.00839726725752
b0016	4	gene	0.00458517576016	-0.0	0.00839726725752
PM00316	4	promoter	0.00458517576016	-0.0	0.00381209149736
b0013	4	gene	0.00458517576016	-0.0	0.00381209149736
b2000	3	gene	0.004404032098	0.00350868610881	0.306363497209
b2007	3	gene	0.004404032098	0.000644904948413	0.309922304771
b2016	3	gene	0.004404032098	0.000111418422579	0.310622957267
b2001	3	gene	0.004404032098	5.01214526322e-05	0.309872183318
b2014	3	gene	0.004404032098	3.28383072118e-05	0.310590118959
b1991	3	gene	0.004404032098	1.93181814288e-05	0.306334435393
b2011	3	gene	0.004404032098	1.9302653659e-05	0.310567209719
b1994	3	gene	0.004404032098	9.74363460827e-06	0.306353753575
b1990	3	gene	0.004404032098	4.0918020611e-06	0.306330343591
b2012	3	gene	0.004404032098	3.60658666652e-06	0.310586512373
b2015	3	gene	0.004404032098	-0.0	0.310622957267
b4678	3	gene	0.004404032098	-0.0	0.310622957267
PM0-10075	3	promoter	0.004404032098	-0.0	0.310590118959
b2013	3	gene	0.004404032098	0.0	0.310590118959
PM00396	3	promoter	0.004404032098	-0.0	0.310567209719
b2010	3	gene	0.004404032098	-0.0	0.310567209719
PM0-10073	3	promoter	0.004404032098	-0.0	0.310567209719
b2009	3	gene	0.004404032098	0.0	0.310567209719
b2008	3	gene	0.004404032098	-0.0	0.310567209719
b4538	3	gene	0.004404032098	-0.0	0.309922304771
b4642	3	gene	0.004404032098	-0.0	0.309922304771
b2006	3	gene	0.004404032098	-0.0	0.309922304771
b2005	3	gene	0.004404032098	-0.0	0.309922304771
b2004	3	gene	0.004404032098	-0.0	0.309922304771
b2003	3	gene	0.004404032098	-0.0	0.309922304771
b2002	3	gene	0.004404032098	-0.0	0.309922304771
PM0-10071	3	promoter	0.004404032098	-0.0	0.306363497209
PM0-2881	3	promoter	0.004404032098	-0.0	0.306363497209
b4435	3	gene	0.004404032098	-0.0	0.306363497209
b1999	3	gene	0.004404032098	-0.0	0.306363497209
b1997	3	gene	0.004404032098	-0.0	0.306363497209
b1996	3	gene	0.004404032098	-0.0	0.306363497209
b4582	3	gene	0.004404032098	-0.0	0.306363497209
b4641	3	gene	0.004404032098	-0.0	0.306363497209
b4640	3	gene	0.004404032098	-0.0	0.306363497209
b4639	3	gene	0.004404032098	-0.0	0.306353753575
PM0-8751	3	promoter	0.004404032098	-0.0	0.306353753575
b1993	3	gene	0.004404032098	0.0	0.306353753575
b1992	3	gene	0.004404032098	-0.0	0.306353753575
b1493	2	gene	0.004249595568	0.00166070056254	0.242943284775
b1452	2	gene	0.004249595568	0.00099233738715	0.24035438977
b1474	2	gene	0.004249595568	0.00063868205848	0.241407058773
b1479	2	gene	0.004249595568	0.000415957823404	0.2420903227
b1480	2	gene	0.004249595568	0.000166250766423	0.242506280524
b1492	2	gene	0.004249595568	0.000136427542459	0.242806857233
b1482	2	gene	0.004249595568	0.000131121767337	0.24267253129
b1478	2	gene	0.004249595568	3.78479110684e-05	0.242052474789
b1464	2	gene	0.004249595568	2.21732913761e-05	0.24135412396
b1468	2	gene	0.004249595568	1.7251848849e-05	0.241389806924
b1467	2	gene	0.004249595568	1.35096726252e-05	0.241376297251
b1461	2	gene	0.004249595568	7.39680320109e-06	0.241346727157
b1475	2	gene	0.004249595568	3.62513648497e-06	0.242045740831
b1477	2	gene	0.004249595568	3.108821245e-06	0.242049365968
b1484	2	gene	0.004249595568	1.85598783092e-06	0.242803653057
b1491	2	gene	0.004249595568	1.34818774599e-06	0.242805509045
PM450	2	promoter	0.004249595568	-0.0	0.244603985338
b1490	2	gene	0.004249595568	-0.0	0.242805509045
b1489	2	gene	0.004249595568	-0.0	0.242805509045
PM0-46160	2	promoter	0.004249595568	-0.0	0.242805509045
b1488	2	gene	0.004249595568	-0.0	0.242805509045
b1487	2	gene	0.004249595568	-0.0	0.242805509045
b1486	2	gene	0.004249595568	-0.0	0.242805509045
b1485	2	gene	0.004249595568	-0.0	0.242805509045
b1483	2	gene	0.004249595568	-0.0	0.242803653057
PM00544	2	promoter	0.004249595568	-0.0	0.24267253129
PM0-7481	2	promoter	0.004249595568	-0.0	0.24267253129
b1481	2	gene	0.004249595568	-0.0	0.24267253129
PM0-4141	2	promoter	0.004249595568	-0.0	0.24267253129
b1476	2	gene	0.004249595568	0.0	0.242049365968
PM00217	2	promoter	0.004249595568	-0.0	0.241407058773
PM0-10383	2	promoter	0.004249595568	-0.0	0.241407058773
b1473	2	gene	0.004249595568	-0.0	0.241407058773
b1472	2	gene	0.004249595568	-0.0	0.241407058773
b1471	2	gene	0.004249595568	-0.0	0.241407058773
PM0-2841	2	promoter	0.004249595568	-0.0	0.241407058773
b1469	2	gene	0.004249595568	-0.0	0.241407058773
PM-8813	2	promoter	0.004249595568	-0.0	0.241389806924
b1466	2	gene	0.004249595568	-0.0	0.241376297251
b1465	2	gene	0.004249595568	-0.0	0.241376297251
b1463	2	gene	0.004249595568	-0.0	0.24135412396
b1462	2	gene	0.004249595568	-0.0	0.24135412396
b1460	2	gene	0.004249595568	-0.0	0.241346727157
b1459	2	gene	0.004249595568	-0.0	0.241346727157
b1457	2	gene	0.004249595568	-0.0	0.241346727157
b1456	2	gene	0.004249595568	-0.0	0.241346727157
b1455	2	gene	0.004249595568	-0.0	0.241346727157
b1454	2	gene	0.004249595568	-0.0	0.241346727157
PM0-10042	2	promoter	0.004249595568	-0.0	0.241346727157
PM0-8528	2	promoter	0.004249595568	-0.0	0.241346727157
b1453	2	gene	0.004249595568	-0.0	0.241346727157
PM0-10041	2	promoter	0.004249595568	-0.0	0.24035438977
b1451	2	gene	0.004249595568	-0.0	0.24035438977
b2579	1	gene	0.004011016737	0.00332687104104	0.43063534996
b2576	1	gene	0.004011016737	0.000292744187561	0.430342605773
b2581	1	gene	0.004011016737	0.000279423653033	0.434004935384
b2582	1	gene	0.004011016737	5.57039992929e-05	0.434284359037
b2580	1	gene	0.004011016737	4.27143824429e-05	0.433962221001
b2583	1	gene	0.004011016737	7.87785581657e-06	0.434340063036
b2584	1	gene	0.004011016737	5.68161829747e-06	0.434347940892
PM0-46172	1	promoter	0.004011016737	-0.0	0.434347940892
PM0-3284	1	promoter	0.004011016737	-0.0	0.434284359037
PM00417	1	promoter	0.004011016737	-0.0	0.433962221001
PM0-1303	1	promoter	0.004011016737	-0.0	0.433962221001
