$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	iBAQ_Step10	iBAQ_Step10_cumulative_abundance
b0022	4	gene	0.00907492935461	-0.0	0.011423819124
b3984	3	gene	0.00855173014136	0.00460186203822	0.900206699162
b3983	3	gene	0.00855173014136	0.00394986810314	0.896256831059
PM00496	3	promoter	0.00855173014136	-0.0	0.896256831059
b3495	2	gene	0.00830411582189	0.00765200561747	0.790879507583
b3500	2	gene	0.00830411582189	0.000252227645209	0.798766419671
b3498	2	gene	0.00830411582189	0.000204742466046	0.798531513201
b3487	2	gene	0.00830411582189	0.000107499516403	0.790726335008
b3493	2	gene	0.00830411582189	4.15423949784e-05	0.790837965188
b3499	2	gene	0.00830411582189	3.01640047157e-05	0.798736255667
b3486	2	gene	0.00830411582189	1.18035135036e-05	0.790714531495
b3492	2	gene	0.00830411582189	4.13066355993e-06	0.790833834525
b4713	2	gene	0.00830411582189	-0.0	0.799018647316
b4712	2	gene	0.00830411582189	-0.0	0.799018647316
PM0-46267	2	promoter	0.00830411582189	-0.0	0.799018647316
PM0-8643	2	promoter	0.00830411582189	-0.0	0.799018647316
b4613	2	gene	0.00830411582189	-0.0	0.799018647316
PM0-15	2	promoter	0.00830411582189	-0.0	0.798766419671
PM0-10146	2	promoter	0.00830411582189	-0.0	0.798736255667
PM0-9720	2	promoter	0.00830411582189	-0.0	0.798736255667
b3497	2	gene	0.00830411582189	-0.0	0.798531513201
b3496	2	gene	0.00830411582189	-0.0	0.798531513201
PM00451	2	promoter	0.00830411582189	-0.0	0.790879507583
PM0-1358	2	promoter	0.00830411582189	-0.0	0.790879507583
b3494	2	gene	0.00830411582189	-0.0	0.790879507583
PM0-8927	2	promoter	0.00830411582189	-0.0	0.790837965188
b3491	2	gene	0.00830411582189	-0.0	0.790833834525
PM0-36192	2	promoter	0.00830411582189	-0.0	0.790833834525
b4660	2	gene	0.00830411582189	-0.0	0.790833834525
b3488	2	gene	0.00830411582189	-0.0	0.790833834525
b3485	2	gene	0.00830411582189	-0.0	0.790714531495
b3484	2	gene	0.00830411582189	-0.0	0.790714531495
b3460	1	gene	0.00744073557811	0.00523175563644	0.784427909448
b3458	1	gene	0.00744073557811	0.00143622376992	0.782890266084
b3454	1	gene	0.00744073557811	0.000281567463828	0.782427794953
b3455	1	gene	0.00744073557811	0.000160624455557	0.782709362417
b3440	1	gene	0.00744073557811	0.000112162888088	0.782222045037
b3459	1	gene	0.00744073557811	0.000101419594991	0.784326489853
b3453	1	gene	0.00744073557811	4.1218359962e-05	0.782386576594
b3448	1	gene	0.00744073557811	3.37149288265e-05	0.782334207925
b3450	1	gene	0.00744073557811	1.41545621409e-05	0.782372422031
b3457	1	gene	0.00744073557811	1.27401038343e-05	0.78287752598
b3456	1	gene	0.00744073557811	7.53910682349e-06	0.782869986873
b3449	1	gene	0.00744073557811	4.49917715426e-06	0.782367922854
b3439	1	gene	0.00744073557811	3.11553054726e-06	0.782218929507
PM00256	1	promoter	0.00744073557811	-0.0	0.789659665085
PM00257	1	promoter	0.00744073557811	-0.0	0.784326489853
PM00449	1	promoter	0.00744073557811	-0.0	0.782427794953
b3452	1	gene	0.00744073557811	-0.0	0.782386576594
b3451	1	gene	0.00744073557811	-0.0	0.782386576594
b3447	1	gene	0.00744073557811	-0.0	0.782334207925
b3446	1	gene	0.00744073557811	-0.0	0.782334207925
b3445	1	gene	0.00744073557811	-0.0	0.782334207925
b3444	1	gene	0.00744073557811	-0.0	0.782334207925
b3443	1	gene	0.00744073557811	-0.0	0.782334207925
b3442	1	gene	0.00744073557811	-0.0	0.782334207925
b3441	1	gene	0.00744073557811	-0.0	0.782334207925
PM0-8042	1	promoter	0.00744073557811	-0.0	0.782334207925
PM0-3601	1	promoter	0.00744073557811	-0.0	0.782334207925
b4451	1	gene	0.00744073557811	-0.0	0.782334207925
