$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	Step_12_lowOD_cumate	Step_12_lowOD_cumate_cumulative_abundance
b1591	9	gene	0.017466200951	0.0	0.264756162728
b1590	9	gene	0.017466200951	-0.0	0.264756162728
b1587	9	gene	0.017466200951	-0.0	0.264662204483
PM0-5721	9	promoter	0.017466200951	-0.0	0.264662204483
PM0-10047	9	promoter	0.017466200951	-0.0	0.264442155678
b1582	9	gene	0.017466200951	-0.0	0.264442155678
b1579	9	gene	0.017466200951	-0.0	0.247289961777
b1578	9	gene	0.017466200951	-0.0	0.247289961777
b1577	9	gene	0.017466200951	-0.0	0.247289961777
b1576	9	gene	0.017466200951	-0.0	0.247289961777
b1575	9	gene	0.017466200951	-0.0	0.247289961777
PM0-9327	9	promoter	0.017466200951	-0.0	0.247289961777
b1574	9	gene	0.017466200951	-0.0	0.247289961777
b1241	8	gene	0.015666601131	0.00725418493209	0.21577155504
b1243	8	gene	0.015666601131	0.00651451437105	0.223025739972
b1251	8	gene	0.015666601131	0.000534177920249	0.230852485344
b1246	8	gene	0.015666601131	0.000506508799515	0.229964630472
b1247	8	gene	0.015666601131	0.000328079709964	0.230471139272
b1245	8	gene	0.015666601131	0.000309749814923	0.229654880657
b1244	8	gene	0.015666601131	0.00011462631455	0.229540254343
b1238	8	gene	0.015666601131	5.14929062608e-05	0.215720062133
b1250	8	gene	0.015666601131	3.88166903329e-05	0.230813668654
b1249	8	gene	0.015666601131	1.21481514425e-05	0.230801520502
b1248	8	gene	0.015666601131	2.30152037803e-06	0.230799218982
PM0-10028	8	promoter	0.015666601131	-0.0	0.231386663264
b4595	8	gene	0.015666601131	-0.0	0.230813668654
PM1023	8	promoter	0.015666601131	-0.0	0.230813668654
PM00306	8	promoter	0.015666601131	-0.0	0.223025739972
b1242	8	gene	0.015666601131	-0.0	0.223025739972
PM00279	8	promoter	0.015666601131	-0.0	0.223025739972
b4573	8	gene	0.015666601131	-0.0	0.21577155504
b2414	7	gene	0.014511843902	0.0144631314257	0.36746979522
b2413	7	gene	0.014511843902	4.87124762458e-05	0.367421082743
PM0-10091	7	promoter	0.014511843902	-0.0	0.36746979522
b0605	6	gene	0.009491104796	0.00749510804522	0.100677789844
b0606	6	gene	0.009491104796	0.00165870581966	0.108172897889
b0607	6	gene	0.009491104796	0.000233528861403	0.109831603709
b0611	6	gene	0.009491104796	8.0669457466e-05	0.110079101089
b0610	6	gene	0.009491104796	1.39685193894e-05	0.11006513257
b0598	6	gene	0.009491104796	8.28575931451e-06	0.100668665751
b0604	6	gene	0.009491104796	8.38333508513e-07	0.10067695151
PM0-9991	6	promoter	0.009491104796	-0.0	0.110159770547
b0608	6	gene	0.009491104796	0.0	0.11006513257
PM0-9990	6	promoter	0.009491104796	-0.0	0.11006513257
PM-8821	6	promoter	0.009491104796	-0.0	0.108172897889
PM00102	6	promoter	0.009491104796	-0.0	0.100677789844
PM0-10408	6	promoter	0.009491104796	-0.0	0.100677789844
PM0-10406	6	promoter	0.009491104796	-0.0	0.100677789844
b0603	6	gene	0.009491104796	-0.0	0.10067695151
PM0-10368	6	promoter	0.009491104796	-0.0	0.10067695151
b0602	6	gene	0.009491104796	-0.0	0.10067695151
b0601	6	gene	0.009491104796	-0.0	0.10067695151
b0600	6	gene	0.009491104796	-0.0	0.10067695151
b0599	6	gene	0.009491104796	-0.0	0.10067695151
b4512	6	gene	0.009491104796	-0.0	0.10067695151
PM0-7163	6	promoter	0.009491104796	-0.0	0.100668665751
b0436	5	gene	0.0083306955812	0.00590566627515	0.0809587802133
b0439	5	gene	0.0083306955812	0.000983476107206	0.0883059996873
b0437	5	gene	0.0083306955812	0.000814783956307	0.0868644464884
b0438	5	gene	0.0083306955812	0.00062676924253	0.0876792304447
PM00511	5	promoter	0.0083306955812	-0.0	0.0883059996873
sraA	5	gene	0.0083306955812	-0.0	0.0883059996873
PM0-9696	5	promoter	0.0083306955812	-0.0	0.0876792304447
PM00569	5	promoter	0.0083306955812	-0.0	0.0868644464884
PM0-9744	5	promoter	0.0083306955812	-0.0	0.0868644464884
PM00339	5	promoter	0.0083306955812	-0.0	0.0868644464884
PM0-9980	5	promoter	0.0083306955812	-0.0	0.0809587802133
b1676	4	gene	0.007761417673	0.00573447579785	0.271710914059
b1677	4	gene	0.007761417673	0.00134717431335	0.277445389857
b1687	4	gene	0.007761417673	0.000327296977721	0.279029570821
b1682	4	gene	0.007761417673	7.70445722533e-05	0.278898090618
b1667	4	gene	0.007761417673	6.18446281687e-05	0.271613235318
b1678	4	gene	0.007761417673	6.0007835165e-05	0.278792564171
b1683	4	gene	0.007761417673	4.03718707923e-05	0.27897513519
b1681	4	gene	0.007761417673	2.58049752538e-05	0.278872285642
b1675	4	gene	0.007761417673	2.03087308506e-05	0.271690605329
b1680	4	gene	0.007761417673	1.97136364803e-05	0.278852572006
b1664	4	gene	0.007761417673	1.77851928917e-05	0.271595450126
b1674	4	gene	0.007761417673	1.4670118104e-05	0.27167593521
b1686	4	gene	0.007761417673	1.28340838551e-05	0.279016736737
b1685	4	gene	0.007761417673	1.22967653742e-06	0.279015507061
b1668	4	gene	0.007761417673	8.55263886825e-07	0.271675079947
b1688	4	gene	0.007761417673	0.0	0.279356867799
b4430	4	gene	0.007761417673	-0.0	0.279015507061
PM0-2801	4	promoter	0.007761417673	-0.0	0.279015507061
b1684	4	gene	0.007761417673	0.0	0.279015507061
b1679	4	gene	0.007761417673	-0.0	0.278852572006
PM0-8763	4	promoter	0.007761417673	-0.0	0.277445389857
PM00585	4	promoter	0.007761417673	-0.0	0.271710914059
PM0-10196	4	promoter	0.007761417673	-0.0	0.271690605329
b1673	4	gene	0.007761417673	0.0	0.27167593521
b1672	4	gene	0.007761417673	-0.0	0.27167593521
b1671	4	gene	0.007761417673	-0.0	0.27167593521
b1670	4	gene	0.007761417673	-0.0	0.27167593521
b1669	4	gene	0.007761417673	-0.0	0.27167593521
b1666	4	gene	0.007761417673	-0.0	0.271613235318
b1665	4	gene	0.007761417673	-0.0	0.271613235318
PM00648	4	promoter	0.007761417673	-0.0	0.271613235318
PM0-9712	4	promoter	0.007761417673	-0.0	0.271613235318
b3984	3	gene	0.007730476537	0.00502771958842	0.882037133871
b3983	3	gene	0.007730476537	0.00270275694847	0.879334376923
PM00496	3	promoter	0.007730476537	-0.0	0.879334376923
b0014	2	gene	0.00748151528117	0.00706785962942	0.00437696880523
b0015	2	gene	0.00748151528117	0.000413655651744	0.0114448284347
PM00316	2	promoter	0.00748151528117	-0.0	0.00437696880523
b0013	2	gene	0.00748151528117	-0.0	0.00437696880523
b4015	1	gene	0.007202826735	0.00537857208297	0.927818918888
b4014	1	gene	0.007202826735	0.00182425465148	0.925994664236
b4016	1	gene	0.007202826735	0.0	0.933197490971
PM00001	1	promoter	0.007202826735	-0.0	0.925994664236
