$gene_or_promoter	SolutionOrder	class	mass reclaimed $(fg/cell)$	iBAQ_W3110	iBAQ_W3110_cumulative_abundance
b1814	6	gene	0.0116207720146	-8.181174515e-07	0.344879955799
PM00307	6	promoter	0.0116207720146	-8.181174515e-07	0.344880773916
b3495	5	gene	0.0102618261059	0.00956199083961	0.792588532133
b3500	5	gene	0.0102618261059	0.000284662427746	0.802407693752
b3498	5	gene	0.0102618261059	0.000233303155274	0.802148886738
b3493	5	gene	0.0102618261059	7.69933308761e-05	0.792513993154
b3487	5	gene	0.0102618261059	5.88264346506e-05	0.792450315481
b3499	5	gene	0.0102618261059	2.7958211338e-05	0.802380553658
b3486	5	gene	0.0102618261059	1.97854070224e-05	0.792430530074
b3492	5	gene	0.0102618261059	8.94182624799e-06	0.792505869446
PM0-15	5	promoter	0.0102618261059	-8.181174515e-07	0.802408511869
PM0-10146	5	promoter	0.0102618261059	-8.181174515e-07	0.802381371775
PM0-9720	5	promoter	0.0102618261059	-8.181174515e-07	0.802382189893
b3497	5	gene	0.0102618261059	-8.181174515e-07	0.802149704855
b3496	5	gene	0.0102618261059	-8.181174515e-07	0.802150522973
PM00451	5	promoter	0.0102618261059	-8.181174515e-07	0.79258935025
PM0-1358	5	promoter	0.0102618261059	-8.181174515e-07	0.792590168368
b3494	5	gene	0.0102618261059	-8.181174515e-07	0.792590986485
PM0-8927	5	promoter	0.0102618261059	-8.181174515e-07	0.792514811272
b3491	5	gene	0.0102618261059	-8.181174515e-07	0.792506687563
PM0-36192	5	promoter	0.0102618261059	-8.181174515e-07	0.792507505681
b4660	5	gene	0.0102618261059	-8.181174515e-07	0.792508323798
b3488	5	gene	0.0102618261059	-8.181174515e-07	0.792509141915
b3829	4	gene	0.00999808533832	0.00889200167322	0.870618593002
b3831	4	gene	0.00999808533832	0.000770115781155	0.879840551964
b3830	4	gene	0.00999808533832	0.000331593523585	0.879510594676
b3832	4	gene	0.00999808533832	6.82871270862e-06	0.880610667745
PM00179	4	promoter	0.00999808533832	-8.181174515e-07	0.879841370082
PM0-9097	4	promoter	0.00999808533832	-8.181174515e-07	0.879842188199
PM0-8601	4	promoter	0.00999808533832	-8.181174515e-07	0.87061941112
b0023	3	gene	0.00940960737864	0.00941042549609	0.00735379100972
PM0-8222	3	promoter	0.00940960737864	-8.181174515e-07	0.0167642165058
b0755	2	gene	0.00904821629375	0.00642778643633	0.144673863977
b0754	2	gene	0.00904821629375	0.00132485772141	0.143349006255
b0753	2	gene	0.00904821629375	0.00060504838417	0.142744775988
b0756	2	gene	0.00904821629375	0.000350028690246	0.151100832295
b0759	2	gene	0.00904821629375	0.000220776762833	0.151533961528
b0757	2	gene	0.00904821629375	8.47367773336e-05	0.151450860986
b0760	2	gene	0.00904821629375	3.90721086917e-05	0.151753920173
PM0-4785	2	promoter	0.00904821629375	-8.181174515e-07	0.151754738291
b0758	2	gene	0.00904821629375	-8.181174515e-07	0.151534779646
PM0-46330	2	promoter	0.00904821629375	-8.181174515e-07	0.151535597763
PM0-10556	2	promoter	0.00904821629375	-8.181174515e-07	0.151101650413
PM00011	2	promoter	0.00904821629375	-8.181174515e-07	0.143349824373
b3984	1	gene	0.00798114636657	0.00459747759237	0.905114647598
b3983	1	gene	0.00798114636657	0.00338448689165	0.901730160706
PM00496	1	promoter	0.00798114636657	-8.181174515e-07	0.901730978824
